,Player,Pos,Ht,Wt,Birth Date, ,Exp,College
0,Trevor Ariza,SF,6-8,215,"June 30, 1985",us,4,UCLA
1,Shannon Brown,SG,6-4,205,"November 29, 1985",us,2,Michigan State
2,Kobe Bryant,SG,6-6,212,"August 23, 1978",us,12,
3,Andrew Bynum,C,7-0,285,"October 27, 1987",us,3,
4,Jordan Farmar,PG,6-2,180,"November 30, 1986",us,2,UCLA
5,Derek Fisher,PG,6-1,200,"August 9, 1974",us,12,Little Rock
6,Pau Gasol,C,7-1,250,"July 6, 1980",es,7,
7,Didier Ilunga-Mbenga,C,7-0,245,"December 30, 1980",cd,4,
8,Chris Mihm,C,7-0,265,"July 16, 1979",us,7,Texas
9,Adam Morrison,SF,6-8,205,"July 19, 1984",us,1,Gonzaga
10,Lamar Odom,PF,6-10,220,"November 6, 1979",us,9,Rhode Island
11,Josh Powell,PF,6-9,225,"January 25, 1983",us,3,NC State
12,Vladimir Radmanović,SF,6-10,227,"November 19, 1980",ba,7,
13,Sasha Vujačić,SG,6-7,195,"March 8, 1984",si,4,
14,Luke Walton,SF,6-8,235,"March 28, 1980",us,5,Arizona
15,Sun Yue,SG,6-9,205,"November 6, 1985",cn,R,
