,GarageId,GarageName,GarageAddress
1498,4054,西南商城停车场,沪闵路131号
1499,4072,宝业坊,申长路388号
1500,4073,中臻科创园停车场,瓶安路1258号
1501,4093,上海虹桥万通中心,苏虹路333号
1502,4111,虹桥宝燕到家会员店停车场,虹中路535号
1503,4127,业祥路停车场,业祥路151号
1504,4163,莘东路停车场,莘东路申茂综合市场对面
1505,4164,东川路地铁站停车场,东川路地铁站
1506,4167,上海雄成置业有限公司,轨交芦恒路站、浦江镇镇、江月路站、联航路站、沈杜公路站
1507,4168,鑫都建行停车场,鑫都商业广场
1508,4177,上海万象城MT楼停车场,虹莘路3999号
1509,4184,永德路停车场,永德路与尚义路路口
1510,4185,永德路生活广场,永德路419号
1511,4191,宝龙七宝物业停车库,新镇路1459弄
1512,4195,博济F1088园,放鹤路1088号
1513,4196,华润万家停车场,七莘路695号
1514,4214,江川路敬老院临时停车场,江川路敬老院临时停车场
1515,4235,普星停车场,江月路1500号
1516,4250,银都路555号停车场,银都路555号
1517,4253,卡登文化产业园区,朱行路15号
1518,4255,华城广场停车场,古美路1465号
1519,4256,得翠园停车场,莘朱路858号
1520,4261,上海国际根雕城停车场,沪闵路2758弄
1521,4269,全季酒店停车场,虹梅南路3135弄51号
1522,4291,虹桥德必易园停车场,吴中路1189号
1523,4293,虹桥国际展汇,申昆路2177、2377号
1524,4296,黎安路1189号停车场,黎安路1189号
1525,4299,伊诺尔园区停车场,召楼路3576号
1526,4303,轻轨5号线北桥站、颛桥站,轻轨5号线北桥站、颛桥站
1527,4304,阿里中心 上海虹桥停车场,申长路1398弄
1528,4307,地铁5号线春申路站停车场,地铁5号线春申路站
1529,4321,鑫广科创园,江凯路177号
1530,4323,虹顺商业广场,天山西路4086号
1531,4324,莘庄工行停车场,莘松路288号
1532,4327,上海畹町坊停车场,畹町路399号
1533,4335,5号线银都路轻轨站临时停车场,沪闵路地铁东面临时停车场
1534,4336,瑞生花园,保乐路368号
1535,4338,东川路金平路城市之光临时停车场,东川路金平路城市之光
1536,4341,上海大富贵酒楼有限公司浦江店,江月路1777号
1537,4356,虹桥丽宝广场停车场,申滨路76号、156号
1538,4361,三弦海上金街停车场,三鲁公路2999号
1539,4365,全季上海虹桥中心酒店,虹中路735号
1540,4366,银七星盛汇,华中路155号
1541,4367,上海七宝九星停车场,九星村漕宝路六号桥南
1542,4377,上海闵行开市客停车场（库）,朱建路235号
1543,4378,春都路233号地下车库,春都路233号
1544,4379,上海国际品牌珠宝中心停车库,浦星公路567弄
1545,4380,虹桥正荣中心（北）,申贵路1477号
1546,4388,东阔颐园停车场,莘北路505号
1547,4407,泓毅大厦停车场,万源路2158号
1548,4416,上海樽海实业有限公司,赵家村
1549,4431,都庄路2899号停车场,都庄路2899号
1550,4432,虹梅新尚街地下停车库,永德路70幢370号
1551,4441,西郊产业园停车场,合川路3152号
1552,4460,南滨江科创园,颛兴东路1280弄1-4号
1553,4461,浦江高科技园区停车场库（F）区,新骏环路88-760号
1554,4480,全方位科技园停车场（库）,都会路1699号
1555,4483,金地威新闵行科创园,中春路1288号
1556,4489,上海湖邦房地产有限公司（闵行星悦荟）,银春路2221弄1-6号B1层
1557,4495,虹光停车场,沪青平公路航云路口
1558,4496,上海凯欣酒店停车场,龙茗路1650号（莫泰168龙茗路店）
1559,4498,古美路300号车库,古美路300号
1560,4503,莘城宾馆停车场,凯城路199号
1561,4517,P18停车场,会卓路55号
1562,4518,进口博览会P21停车场,北翟路华翔路路口
1563,4519,闵启停车场,老沪闵路1415号
1564,4520,进口博览会P20停车场,宁虹路与申昆路交界处
1565,4523,上海沁春大型停车场,沁春路4号甲
1566,4524,航南路停车场,航南路航新路交叉口
1567,4525,元祥菜场停车场,华宁路2500号
1568,4535,上海三信拉链有限公司,江月路1598号
1569,4536,航新路停车场,航新路637号
1570,4537,轻轨5号线开发区站,轻轨5号线开发区站
1571,4552,莘东路25号停车场,莘东南路25号
1572,4553,黎安智谷园,七莘路1366号
1573,4554,黎安产业园,莘福路396号
1574,4555,江川路611号停车场,江川路611号
1575,4563,上海利港汽车服务有限公司,程家桥路168弄39号
1576,4564,上海瓯盛超市管理有限公司,康华路86号
1577,4565,上海新龙实业有限公司,吴宝路428号
1578,4571,航北路---航华一村两侧停车场,航北路近外环
1579,4573,浦江绿地乐和城停车场,浦锦路309弄
1580,4589,锦京实业同乐路153号,同乐路153号
1581,4597,德必虹桥525园区停车场,金雨路55-59号
1582,4598,金汇德必易园停车场,吴中路1366号
1583,4624,国民商务花园停车场,上海市闵行区虹梅南路777号
1584,4625,日月明园区停车场,三鲁路3585号
1585,4637,新虹社区卫生服务中心,申滨路618号
1586,4645,上海圆外物业集团有限公司,北松公路629号
1587,4649,莘庄地铁站北广场停车场,莘庄地铁站北广场众贤路停车场
1588,4650,莘庄镇伟业路停车场,伟业路畹町路口停车场
1589,4655,蕾特商务停车场,恒南路1358号
1590,4656,中钢集团上海碳素厂有限公司,龙吴路4221号
1591,4672,上海虹桥西郊庄园丽笙大酒店,金丰路839号
1592,4674,莲谷科技产业园,莲花南路2899号
1593,4711,龙湖闵行天街地下车库,剑川路1000弄
1594,4738,王泥浜村停车场,王泥浜村
1595,4740,长三角电商中心停车场,申昆路1999号
1596,4772,上海泉升停车服务有限公司,沪青平公路1209号
1597,4773,虹延停车场,49街坊7丘地块 延安西路3088号
1598,4788,七宝镇农南路停车场,农南路新镇路口停车场
1599,4820,虹桥总部2号,虹中路385号
1600,4828,浦江镇万达广场停车场（库）,永跃路360号
1601,4854,丰隆广场地下车库,联友路58弄4号
1602,4856,润虹路停车场,润虹路798号
1603,4857,华翔绿地公园停车场,申昆路291号
1604,4866,吴泾宝龙广场停车库,剑川路438号
1605,4867,上海华山益群实业公司,金光路958号
1606,4868,晨莲物业停车场,沪青平公路479号
1607,4869,上海樽轩城市工业园区二期,纪翟路1199弄
1608,4873,浦锦街道社区学校停车场,浦锦路400号
1609,4883,吉祥酒店停车场,虹泉路888号
1610,4887,新建科研工房及辅助用房,昆阳路1508号
1611,4888,泓茂中心停车场,万源路2138号
