,Player,Pos,Ht,Wt,Birth Date, ,Exp,College
0,Shannon Brown,SG,6-4,205,"November 29, 1985",us,3,Michigan State
1,Kobe Bryant,SG,6-6,212,"August 23, 1978",us,13,
2,Andrew Bynum,C,7-0,285,"October 27, 1987",us,4,
3,Jordan Farmar,PG,6-2,180,"November 30, 1986",us,3,UCLA
4,Derek Fisher,PG,6-1,200,"August 9, 1974",us,13,Little Rock
5,Pau Gasol,C,7-1,250,"July 6, 1980",es,8,
6,Didier Ilunga-Mbenga,C,7-0,245,"December 30, 1980",cd,5,
7,Adam Morrison,SF,6-8,205,"July 19, 1984",us,2,Gonzaga
8,Lamar Odom,PF,6-10,220,"November 6, 1979",us,10,Rhode Island
9,Josh Powell,PF,6-9,225,"January 25, 1983",us,4,NC State
10,Sasha Vujačić,SG,6-7,195,"March 8, 1984",si,5,
11,Luke Walton,SF,6-8,235,"March 28, 1980",us,6,Arizona
12,Metta World Peace,SF,6-6,260,"November 13, 1979",us,10,St. John's
