,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   , 12.54E-11                     ,+/- 0.45E-11 ,erg/s/cm^2^          ,2.53e+19,4.96e-07,+/- 1.78E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,14-195 keV (Suzaku)  , -10.2                         ,           ...,log(erg/s/cm^2^)     ,2.53e+19,2.4899999999999997e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,2
2,3,14-195 keV (Swift)   , 10.6E-11                      ,           ...,erg/cm^2^/s          ,2.53e+19,4.19e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,3
3,4,15-150 keV (Swift)   , 1.0e-10                       ,+/- 2.9e-12 ,erg/cm^2^/s          ,1.99e+19,5.03e-07,+/- 1.46E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,4
4,5,20-100 keV (RXTE)    , 8.80E-11                      ,           ...,erg/cm^2^/s          ,1.45e+19,6.070000000000001e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJS..193....3R,5
5,6,15-55 keV (Swift)    , 6.45E-11                      ,+/- 0.17E-11 ,erg/cm^2^/s          ,8.46e+18,7.620000000000001e-07,+/- 2.01E-08 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...699..603A,6
6,7,15-50 keV (Suzaku)   , -10.3                         ,           ...,log(erg/s/cm^2^)     ,7.86e+18,6.38e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,7
7,8,10-50 keV (Suzaku)   , 1.91                          ,           ...,log(erg/s/cm^2^)     ,7.25e+18,1.12e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...727...19F,8
8,9,10-50 keV (Suzaku)   , 3.90E-11                      ,           ...,erg/cm^2^/s          ,7.25e+18,5.38e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...733...48T,9
9,10,4-10 keV (XMM)       , 28.3E-12                      ,           ...,erg/cm^2^/s          ,1.69e+18,1.67e-06,    ...      ,Jy                   ,"Broad-band
",Obs. date: 2006-10-12                   ,2010A&A...521A..57T,10
10,11,2-10 keV             , 73.68E-12                     ,+/- 3.70E-12 ,ergs cm^-2^ s^-1^    ,1.45e+18,5.08e-06,+/- 2.55E-07 ,Jy                   ,"Broad-band
",Flux from 1998ApJS..114...73G           ,2005ApJ...629...61K,11
11,12,2-10 keV (Chandra)   , -10.87                        ,           ...,log(erg/cm^2^/s)     ,1.45e+18,9.3e-07,    ...      ,Jy                   ,"Broad-band
",Nuclear flux                            ,2006A&A...455..173P,12
12,13,2-10 keV (ASCA)      , 177.5E-13                     ,           ...,ergs s^-1^ cm^-2^    ,1.45e+18,1.22e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2005ApJS..161..185U,13
13,14,2-10 keV             , 4.410E-14                     ,           ...,W/m^2^               ,1.45e+18,3.04e-06,    ...      ,Jy                   ,"Broad-band
",Observed flux                           ,2004A&A...418..465L,14
14,15,2-10 keV             , 4.41E-14                      ,           ...,W/m^2^               ,1.45e+18,3.04e-06,    ...      ,Jy                   ,"Broad-band
",Intrinsic flux                          ,2004A&A...418..465L,15
15,16,2-10 keV             , 2.4E-11                       ,           ..., erg/cm^2^/s         ,1.45e+18,1.66e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2004A&A...422...65B,16
16,17,2-10 keV (BeppoSAX)  , 9.10E-11                      ,+/- 0.60E-11 , erg/cm^2^/s         ,1.45e+18,6.28e-06,+/- 4.14E-07 ,Jy                   ,"Broad-band
",                                        ,2007A&A...472..705V,17
17,18,2-10 keV (XMM)       , 1.51E-11                      ,           ..., erg/cm^2^/s         ,1.45e+18,1.04e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2007MNRAS.382..194N,18
