,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   , 7.92E-11                      ,+/- 0.55E-11 ,erg/s/cm^2^          ,2.53e+19,3.13e-07,+/- 2.17E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,14-195 keV (Swift)   , 6.7E-11                       ,           ...,erg/cm^2^/s          ,2.53e+19,2.65e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,2
2,3,15-150 keV (Swift)   , 6.7e-11                       ,+/- 3.9e-12 ,erg/cm^2^/s          ,1.99e+19,3.37e-07,+/- 1.96E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,3
3,4,15-136 keV BeppoSAX  , 10.5E-11                      ,           ...,erg/s/cm^2^          ,1.83e+19,5.74e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2004A&A...415...39D,4
4,5,20-100 keV BeppoSAX  , 49.6E-12                      ,           ...,erg cm^-2^ s^-1^     ,1.45e+19,3.42e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2005A&A...441...69L,5
5,6,20-100 keV BeppoSAX  , 81.3E-12                      ,           ...,erg cm^-2^ s^-1^     ,1.45e+19,5.61e-07,    ...      ,Jy                   ,"Broad-band
",Flux at source; avg spec param reported ,2005A&A...441...69L,6
6,7,20-100 keV (RXTE)    , 6.54E-11                      ,           ...,erg/cm^2^/s          ,1.45e+19,4.51e-07,    ...      ,Jy                   ,"Broad-band
",Partial-covering model                  ,2011ApJS..193....3R,7
7,8,20-100 keV (RXTE)    , 5.62E-11                      ,           ...,erg/cm^2^/s          ,1.45e+19,3.88e-07,    ...      ,Jy                   ,"Broad-band
",Reflection-dominated model              ,2011ApJS..193....3R,8
8,9,15-55 keV (Swift)    , 4.09E-11                      ,+/- 0.20E-11 ,erg/cm^2^/s          ,8.46e+18,4.83e-07,+/- 2.36E-08 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...699..603A,9
9,10,10-50 keV (Suzaku)   , 1.74                          ,           ...,log(erg/s/cm^2^)     ,7.25e+18,7.58e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...727...19F,10
10,11,2-12 keV (XMM)       , 3.21E-11                      ,+/- 0.49E-11 ,ergs cm^-2^ s^-1^    ,1.69e+18,1.9e-06,+/- 2.90E-07 ,Jy                   ,"Broad-band
",Variable                                ,2005ApJ...625L..31D,11
11,12,2-12 keV (XMM)       , 0.60E-11                      ,+/- 0.32E-11 ,ergs cm^-2^ s^-1^    ,1.69e+18,3.55e-07,+/- 1.89E-07 ,Jy                   ,"Broad-band
",Variable                                ,2005ApJ...625L..31D,12
12,13,2-12 keV (XMM)       , 0.28E-11                      ,+/- 0.77E-11 ,ergs cm^-2^ s^-1^    ,1.69e+18,1.66e-07,+/- 4.56E-07 ,Jy                   ,"Broad-band
",Variable                                ,2005ApJ...625L..31D,13
13,14,2-12 keV (XMM)       , 3.37E-11                      ,+/- 0.81E-11 ,ergs cm^-2^ s^-1^    ,1.69e+18,1.99e-06,+/- 4.79E-07 ,Jy                   ,"Broad-band
",Variable                                ,2005ApJ...625L..31D,14
14,15,4-10 keV (XMM)       , 2.1E-12                       ,           ...,erg/cm^2^/s          ,1.69e+18,1.24e-07,    ...      ,Jy                   ,"Broad-band
",Obs. date: 2005-04-29                   ,2010A&A...521A..57T,15
15,16,F_2-10_ keV          , 1.7                           ,+/- 10  %  ,10^-11^ erg/s/cm^2^  ,1.45e+18,1.17e-06,+/- 1.17E-07 ,Jy                   ,"Broad-band
",Energy index (assumed) 0.7              ,1989MNRAS.240..833T,16
16,17,2.0-10 keV (HEAO-1)  , 3.9E-11                       ,           ...,ergs cm^-2^ s^-1^    ,1.45e+18,2.69e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2006AJ....131.2843S,17
17,18,2.0-10 keV           , 1.97E-11                      ,           ...,ergs cm^-2^ s^-1^    ,1.45e+18,1.36e-06,    ...      ,Jy                   ,"Broad-band
",From 2000ApJ...531..245T                ,2006AJ....131.2843S,18
18,19,2-10 keV (XMM)       , 23.5E-13                      ,           ...,erg/cm^2^/s          ,1.45e+18,1.62e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2007A&A...466..855P,19
19,20,2-10 keV (XMM)       , 40.2E-13                      ,           ...,erg/cm^2^/s          ,1.45e+18,2.77e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2007A&A...466..855P,20
20,21,2-10 keV             , 1.550E-14                     ,           ...,W/m^2^               ,1.45e+18,1.07e-06,    ...      ,Jy                   ,"Broad-band
",Observed flux                           ,2004A&A...418..465L,21
21,22,2-10 keV             , 2.72E-14                      ,           ...,W/m^2^               ,1.45e+18,1.88e-06,    ...      ,Jy                   ,"Broad-band
",Intrinsic flux                          ,2004A&A...418..465L,22
22,23,2-10 keV (ASCA)      , 243.0E-13                     ,           ..., ergs/s/cm^2^        ,1.45e+18,1.68e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2001ApJS..133....1U,23
23,24,2-10 keV (XMM)       , 7.6E-12                       ,+/- 0.4E-12 ,erg/cm^2^/s          ,1.45e+18,5.24e-07,+/- 2.76E-08 ,Jy                   ,"Broad-band
",Observed flux                           ,2009ApJ...695..781B,24
24,25,2-10 keV (Suzaku)    , 2.6E-12                       ,+/- 0.5E-12 ,erg/cm^2^/s          ,1.45e+18,1.7899999999999997e-07,+/- 3.45E-08 ,Jy                   ,"Broad-band
",Observed flux                           ,2009ApJ...695..781B,25
25,26,2-10 keV             , 21.1E-13                      ,+/- 1.7E-13 ,erg/s/cm^2^          ,1.45e+18,1.4599999999999998e-07,+/- 1.17E-08 ,Jy                   ,"Broad-band
",2005 XMM-Newton observation             ,2011ApJ...729...52L,26
26,27,2-10 keV             , 38.6E-13                      ,+/- 3.0E-13 ,erg/s/cm^2^          ,1.45e+18,2.66e-07,+/- 2.07E-08 ,Jy                   ,"Broad-band
",2001 XMM-Newton observation             ,2011ApJ...729...52L,27
27,28,2-10 keV             , 164E-13                       ,+/- 263E-13 ,erg/s/cm^2^          ,1.45e+18,1.13e-06,+/- 1.81E-06 ,Jy                   ,"Broad-band
",Chandra observations                    ,2011ApJ...729...52L,28
28,29,2-10 keV (RXTE)      , 1.04E-11                      ,           ...,erg/cm^2^/s          ,1.45e+18,7.170000000000001e-07,    ...      ,Jy                   ,"Broad-band
",Reflection-dominated model              ,2011ApJS..193....3R,29
29,30,2-10 keV (RXTE)      , 1.01E-11                      ,           ...,erg/cm^2^/s          ,1.45e+18,6.970000000000001e-07,    ...      ,Jy                   ,"Broad-band
",Partial-covering model                  ,2011ApJS..193....3R,30
30,31,2-10 keV (XMM)       , 223E-14                       ,           ...,erg/s/cm^2^          ,1.45e+18,1.54e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011MNRAS.413.1206B,31
