,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   ,1.4130000000000002e-10,+/- 0.50E-11 ,erg/s/cm^2^          ,2.53e+19,5.58e-07,+/- 1.98E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,14-195 keV (Suzaku)  ,-10.1,           ...,log(erg/s/cm^2^)     ,2.53e+19,3.14e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,2
2,3,14-195 keV (Swift)   ,1.29e-10,           ...,erg/cm^2^/s          ,2.53e+19,5.1e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,3
3,4,15-150 keV (Swift)   ,1e-10,+/- 2.7e-12 ,erg/cm^2^/s          ,1.99e+19,5.03e-07,+/- 1.36E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,4
4,5,40-100 keV INTEGRAL  ,7.1e-11,           ...,erg/cm^2^/s          ,1.69e+19,4.2e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,5
5,6,20-100 keV BeppoSAX  ,9.809999999999999e-11,           ...,erg cm^-2^ s^-1^     ,1.45e+19,6.77e-07,    ...      ,Jy                   ,"Broad-band
",Flux at source; avg spec param reported ,2005A&A...441...69L,6
6,7,20-100 keV BeppoSAX  ,2.5500000000000002e-11,           ...,erg cm^-2^ s^-1^     ,1.45e+19,1.7600000000000001e-07,    ...      ,Jy                   ,"Broad-band
",Average spectrum params reported        ,2005A&A...441...69L,7
7,8,20-100 keV (RXTE)    ,7.490000000000001e-11,           ...,erg/cm^2^/s          ,1.45e+19,5.17e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJS..193....3R,8
8,9,17-60 keV (INTEGRAL) ,9.050000000000001e-11,+/- 0.84E-11 ,erg s^-1^ cm^-2^     ,9.31e+18,9.72e-07,+/- 9.02E-08 ,Jy                   ,"Broad-band
",                                        ,2007A&A...462...57S,9
9,10,15-55 keV (Swift)    ,7.349999999999999e-11,+/- 0.20E-11 ,erg/cm^2^/s          ,8.46e+18,8.690000000000001e-07,+/- 2.36E-08 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...699..603A,10
10,11,15-50 keV (Suzaku)   ,-10.2,           ...,log(erg/s/cm^2^)     ,7.86e+18,8.03e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,11
11,12,20-40 keV (INTEGRAL) ,5.6e-11,           ...,erg/cm^2^/s          ,7.25e+18,7.72e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,12
12,13,10-50 keV (Suzaku)   ,2.01,           ...,log(erg/s/cm^2^)     ,7.25e+18,1.41e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...727...19F,13
13,14,4-10 keV (XMM)       ,2.32e-11,           ...,erg/cm^2^/s          ,1.69e+18,1.37e-06,    ...      ,Jy                   ,"Broad-band
",Obs. date: 2006-12-03                   ,2010A&A...521A..57T,14
14,15,F_2-10_ keV          ,2.7,+/- 10  %  ,10^-11^ erg/s/cm^2^  ,1.45e+18,1.86e-06,+/- 1.86E-07 ,Jy                   ,"Broad-band
",Mean; variable.  Energy index 0.51      ,1989MNRAS.240..833T,15
15,16,2-10 keV             ,2.552e-11,+/- 1.30E-12 ,ergs cm^-2^ s^-1^    ,1.45e+18,1.76e-06,+/- 8.97E-08 ,Jy                   ,"Broad-band
",Flux from 1998ApJS..114...73G           ,2005ApJ...629...61K,16
16,17,2-10 keV (XMM)       ,8.14e-12,           ...,erg cm^-2^ s^-1^     ,1.45e+18,5.61e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2006A&A...446..459C,17
17,18,2.0-10 keV (HEAO-1)  ,3e-11,           ...,ergs cm^-2^ s^-1^    ,1.45e+18,2.07e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2006AJ....131.2843S,18
18,19,2.0-10 keV           ,8e-12,           ...,ergs cm^-2^ s^-1^    ,1.45e+18,5.520000000000001e-07,    ...      ,Jy                   ,"Broad-band
",From 2003A&A...398..967G                ,2006AJ....131.2843S,19
19,20,2-10 keV             ,7.5e-15,           ...,W/m^2^               ,1.45e+18,5.17e-07,    ...      ,Jy                   ,"Broad-band
",Observed flux                           ,2004A&A...418..465L,20
20,21,2-10 keV             ,7.6e-15,           ...,W/m^2^               ,1.45e+18,5.24e-07,    ...      ,Jy                   ,"Broad-band
",Intrinsic flux                          ,2004A&A...418..465L,21
21,22,2-10 keV (ASCA)      ,4.069e-11,           ..., ergs/s/cm^2^        ,1.45e+18,2.81e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2001ApJS..133....1U,22
22,23,2-10 keV (XMM)       ,3.5e-11,           ..., erg/cm^2^/s         ,1.45e+18,2.41e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2009ApJ...691..922M,23
23,24,2-10 keV (XMM)       ,8.663e-12,           ...,erg/s/cm^2^          ,1.45e+18,5.970000000000001e-07,    ...      ,Jy                   ,"Broad-band
",Observed flux                           ,2009A&A...500..999A,24
24,25,2-10 keV (XMM)       ,8.5e-12,           ...,erg/cm^2^/s          ,1.45e+18,5.86e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...507..159D,25
