Search Results

Searching for first_cat sources within 60.0000 arcsec of 126 input positions

7 sources found

                                                                                    FIRST Catalog Database (2014dec17)                                                                                    
-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Do  Get Get  | Search     RA (2000)   Dec (2000)   Side   Peak     Int.     RMS   Deconv.  Deconv.  Deconv  Meas.     Meas.      Meas.    Field Name   SDSS Closest SDSS  SD 2MAS Closest 2MASS  Mean      Mean      RMS    
NED OPT FIMG |          07 36 51.400 +65 36 09.20                         -1.000*
NED OPT FIMG |          04 53 07.100 +67 05 57.00                         -1.000*
NED OPT FIMG |          00 49 49.200 -21 00 54.00                         -1.000*
NED OPT FIMG |          06 47 45.800 +80 07 26.00                         -1.000*
NED OPT FIMG |          08 19 04.980 +70 43 12.10                         -1.000*
NED OPT FIMG |          13 21 57.610 -36 37 48.90                         -1.000*
NED OPT FIMG |          13 37 39.050 -42 50 49.10                         -1.000*
NED OPT FIMG |          13 45 00.500 -41 51 40.00                         -1.000*
NED OPT FIMG |          00 49 20.960 -18 04 31.50                         -1.000*
NED OPT FIMG |          09 45 10.000 +68 45 54.00                         -1.000*
NED OPT FIMG |          00 50 24.320 -19 54 24.20                         -1.000*
NED OPT FIMG |          04 32 49.090 +71 52 59.20                         -1.000*
NED OPT FIMG |          13 49 17.500 -36 03 48.40                         -1.000*
NED OPT FIMG |          13 33 43.980 -48 09 04.20                         -1.000*
NED OPT FIMG |          13 03 33.600 -46 35 06.00                         -1.000*
NED OPT FIMG |          09 50 10.530 +67 30 24.30                         -1.000*
NED OPT FIMG |          10 05 06.400 +66 33 32.00                         -1.000*
NED OPT FIMG |          09 55 52.730 +69 40 45.80                         -1.000*
NED OPT FIMG |          13 13 09.160 -44 53 23.80                         -1.000*
NED OPT FIMG |          08 23 55.100 +71 01 56.00                         -1.000*
NED OPT FIMG |          09 47 15.460 +67 54 59.00                         -1.000*
NED OPT FIMG |          08 34 07.200 +66 10 54.00                         -1.000*
NED OPT FIMG |          13 05 27.480 -49 28 05.60                         -1.000*
