#Column	usrid	(I7)	User Table identifier	(cross_match.usrid)	[""]	[meta.id]
#Column	separation	(F9.2)	Distance from master source to user source	(cross_match.separation)	["arcsec"]	[pos.angDistance]
#Column	probability	(F9.2)	Probability that master source and user source are a match	(cross_match.probability)	[""]	[stat.probability]
#Column	dataset_id	(I10)	Dataset identifier used to access Data Products	(dataset.dataset_id)	[""]	[meta.id]
#Column	name	(A20)	Source name in the format 'CXO Jhhmmss.s +/- ddmmss'	(master_source.name)	[""]	[meta.id;meta.main]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	err_ellipse_r0	(F7.2)	Major radius of the 95% confidence level error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[phys.angSize.smaj;pos.errorEllipse]
#Column	conf_flag	(A5)	Source regions overlap (source is confused)	(master_source.conf_flag)	[""]	[meta.code]
#Column	sat_src_flag	(A5)	Source is saturated in all observations; source properties are unreliable	(master_source.sat_src_flag)	[""]	[meta.code.qual;instr.saturation]
#Column	significance	(F7.2)	Highest source flux significance across all observations	(master_source.significance)	[""]	[stat.snr]
#Column	flux_aper_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events; ACIS broad energy band	(master_source.flux_aper_b)	["erg/s/cm^2"]	[phot.flux;src.net;em.X-ray]
#Column	flux_aper_lolim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events (68% lower confidence limit); ACIS broad energy band	(master_source.flux_aper_lolim_b)	["erg/s/cm^2"]	[stat.error;phot.flux;src.net;stat.min;em.X-ray]
#Column	flux_aper_hilim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events (68% upper confidence limit); ACIS broad energy band	(master_source.flux_aper_hilim_b)	["erg/s/cm^2"]	[stat.error;phot.flux;src.net;stat.max;em.X-ray]
#Column	flux_aper_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events; HRC wide energy band	(master_source.flux_aper_w)	["erg/s/cm^2"]	[phot.flux;src.net;em.X-ray]
#Column	flux_aper_lolim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events (68% lower confidence limit); HRC wide energy band	(master_source.flux_aper_lolim_w)	["erg/s/cm^2"]	[stat.error;phot.flux;src.net;stat.min;em.X-ray]
#Column	flux_aper_hilim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events (68% upper confidence limit); HRC wide energy band	(master_source.flux_aper_hilim_w)	["erg/s/cm^2"]	[stat.error;phot.flux;src.net;stat.max;em.X-ray]
usrid	separation	probability	dataset_id	name	ra	dec	err_ellipse_r0	conf_flag	sat_src_flag	significance	flux_aper_b	flux_aper_lolim_b	flux_aper_hilim_b	flux_aper_w	flux_aper_lolim_w	flux_aper_hilim_w
      2	    44.82	     0.00	     93026	CXO J185522.1-303213	 18 55 22.13	-30 32 13.74	   1.45	FALSE	FALSE	   4.88	8.455e-15	6.779e-15	1.032e-14	         	         	         
      2	    51.93	     0.00	     93023	CXO J185518.4-303333	 18 55 18.45	-30 33 33.12	   2.19	FALSE	FALSE	   3.49	1.082e-14	7.981e-15	1.413e-14	         	         	         
      2	    54.39	     0.00	     93024	CXO J185522.6-303318	 18 55 22.67	-30 33 18.74	   1.31	FALSE	FALSE	   5.91	2.242e-14	1.844e-14	2.636e-14	         	         	         
      2	    68.18	     0.00	     93045	CXO J185516.8-303144	 18 55 16.81	-30 31 44.38	   1.28	FALSE	FALSE	   3.75	7.265e-15	5.231e-15	9.297e-15	         	         	         
      2	   173.81	     0.00	     93053	CXO J185532.9-303258	 18 55 32.90	-30 32 58.34	   3.88	FALSE	FALSE	   3.67	6.253e-15	4.482e-15	8.007e-15	         	         	         
      4	    44.49	     0.00	    173912	CXO J052325.9-694523	 05 23 25.96	-69 45 23.74	   2.92	FALSE	FALSE	   9.93	4.232e-14	3.923e-14	4.543e-14	         	         	         
      4	   102.54	     0.00	    173891	CXO J052353.6-694547	 05 23 53.69	-69 45 47.16	   4.27	FALSE	FALSE	   3.35	8.013e-15	5.956e-15	1.007e-14	         	         	         
      4	   177.47	     0.00	    173914	CXO J052300.3-694529	 05 23 00.37	-69 45 29.80	   5.78	FALSE	FALSE	   6.17	2.315e-14	1.920e-14	2.706e-14	         	         	         
      6	    25.51	     0.00	       557	CXO J005245.6-724917	 00 52 45.68	-72 49 17.81	   2.47	FALSE	FALSE	   4.16	3.159e-14	2.420e-14	3.988e-14	         	         	         
      6	    65.00	     0.00	       563	CXO J005231.3-724916	 00 52 31.39	-72 49 16.39	   3.44	FALSE	FALSE	   3.16	1.527e-14	1.092e-14	2.045e-14	         	         	         
      6	    80.18	     0.00	       552	CXO J005252.2-724829	 00 52 52.20	-72 48 29.86	   1.58	FALSE	FALSE	   5.30	4.736e-14	3.882e-14	5.680e-14	         	         	         
      6	   143.74	     0.00	       550	CXO J005242.2-724719	 00 52 42.24	-72 47 19.70	   1.07	FALSE	FALSE	   6.60	4.556e-14	3.855e-14	5.263e-14	         	         	         
      8	    50.54	     0.00	    185216	CXO J172009.9+575408	 17 20 09.95	+57 54 08.64	   0.87	FALSE	FALSE	   4.53	6.226e-15	4.700e-15	7.756e-15	         	         	         
      8	    93.57	     0.00	    185225	CXO J172002.3+575544	 17 20 02.38	+57 55 44.23	   1.27	FALSE	FALSE	   3.52	9.446e-16	1.546e-16	1.742e-15	         	         	         
      8	   153.06	     0.00	    185207	CXO J172025.6+575304	 17 20 25.66	+57 53 04.66	   0.54	FALSE	FALSE	   5.20	4.189e-15	3.470e-15	4.916e-15	         	         	         
      8	   155.04	     0.00	    185211	CXO J172028.4+575623	 17 20 28.43	+57 56 23.19	   0.43	FALSE	FALSE	   5.38	8.834e-15	7.553e-15	1.013e-14	         	         	         
      8	   171.18	     0.00	    185206	CXO J172025.4+575239	 17 20 25.48	+57 52 39.59	   0.60	FALSE	FALSE	   4.63	7.274e-15	6.010e-15	8.550e-15	         	         	         
     11	    48.21	     0.00	    235989	CXO J010005.9-334209	 01 00 05.92	-33 42 09.56	   0.60	FALSE	FALSE	   4.11	8.469e-15	6.564e-15	1.065e-14	         	         	         
     11	    52.81	     0.00	    236004	CXO J010008.3-334324	 01 00 08.31	-33 43 24.34	   0.73	FALSE	FALSE	   3.11	5.972e-16	2.756e-16	9.186e-16	         	         	         
     11	    85.71	     0.00	    236007	CXO J010013.7-334127	 01 00 13.70	-33 41 27.14	   0.87	FALSE	FALSE	   3.15	3.950e-15	2.802e-15	5.317e-15	         	         	         
     11	    86.55	     0.00	    235987	CXO J010002.8-334304	 01 00 02.83	-33 43 04.18	   0.14	FALSE	FALSE	  19.89	2.468e-14	2.382e-14	2.555e-14	         	         	         
     11	   107.13	     0.00	    235991	CXO J010013.6-334101	 01 00 13.66	-33 41 00.72	   0.54	FALSE	FALSE	   4.96	4.429e-15	3.654e-15	5.212e-15	         	         	         
     11	   119.53	     0.00	    235992	CXO J010008.4-334033	 01 00 08.46	-33 40 33.93	   0.65	FALSE	FALSE	   4.71	2.171e-15	1.673e-15	2.700e-15	         	         	         
     11	   141.80	     0.00	     71192	CXO J010013.9-334442	 01 00 13.90	-33 44 42.65	   0.66	 TRUE	FALSE	   4.67	4.704e-14	3.703e-14	5.709e-14	         	         	         
     11	   141.98	     0.00	     71193	CXO J010014.0-334442	 01 00 14.03	-33 44 42.12	   0.94	 TRUE	FALSE	   3.22	5.459e-14	3.935e-14	7.203e-14	         	         	         
     11	   147.07	     0.00	    235985	CXO J005958.6-334337	 00 59 58.69	-33 43 36.98	   0.26	FALSE	FALSE	   9.90	1.447e-14	1.353e-14	1.542e-14	         	         	         
     11	   147.42	     0.00	    236005	CXO J005958.2-334324	 00 59 58.22	-33 43 24.23	   0.95	FALSE	FALSE	   3.28	1.362e-15	7.820e-16	1.943e-15	         	         	         
     11	   165.72	     0.00	    236001	CXO J010005.2-334510	 01 00 05.24	-33 45 10.80	   1.01	FALSE	FALSE	   3.46	2.360e-15	1.592e-15	3.123e-15	         	         	         
     11	   166.62	     0.00	    235984	CXO J005958.9-334417	 00 59 58.92	-33 44 17.81	   0.45	FALSE	FALSE	   8.26	1.449e-14	1.296e-14	1.604e-14	         	         	         
