#Column	usrid	(I7)	User Table identifier	(cross_match.usrid)	[""]	[meta.id]
#Column	separation	(F9.2)	Distance from master source to user source	(cross_match.separation)	["arcsec"]	[pos.angDistance]
#Column	probability	(F9.2)	Probability that master source and user source are a match	(cross_match.probability)	[""]	[stat.probability]
#Column	dataset_id	(I10)	Dataset identifier used to access Data Products	(dataset.dataset_id)	[""]	[meta.id]
#Column	name	(A20)	Source name in the format 'CXO Jhhmmss.s +/- ddmmss'	(master_source.name)	[""]	[meta.id;meta.main]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	err_ellipse_r0	(F7.2)	Major radius of the 95% confidence level error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[phys.angSize.smaj;pos.errorEllipse]
#Column	conf_flag	(A5)	Source regions overlap (source is confused)	(master_source.conf_flag)	[""]	[meta.code]
#Column	sat_src_flag	(A5)	Source is saturated in all observations; source properties are unreliable	(master_source.sat_src_flag)	[""]	[meta.code.qual;instr.saturation]
#Column	significance	(F7.2)	Highest source flux significance across all observations	(master_source.significance)	[""]	[stat.snr]
#Column	flux_aper_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events; ACIS broad energy band	(master_source.flux_aper_b)	["erg/s/cm^2"]	[phot.flux;src.net;em.X-ray]
#Column	flux_aper_lolim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events (68% lower confidence limit); ACIS broad energy band	(master_source.flux_aper_lolim_b)	["erg/s/cm^2"]	[stat.error;phot.flux;src.net;stat.min;em.X-ray]
#Column	flux_aper_hilim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events (68% upper confidence limit); ACIS broad energy band	(master_source.flux_aper_hilim_b)	["erg/s/cm^2"]	[stat.error;phot.flux;src.net;stat.max;em.X-ray]
#Column	flux_aper_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events; HRC wide energy band	(master_source.flux_aper_w)	["erg/s/cm^2"]	[phot.flux;src.net;em.X-ray]
#Column	flux_aper_lolim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events (68% lower confidence limit); HRC wide energy band	(master_source.flux_aper_lolim_w)	["erg/s/cm^2"]	[stat.error;phot.flux;src.net;stat.min;em.X-ray]
#Column	flux_aper_hilim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, calculated by counting X-ray events (68% upper confidence limit); HRC wide energy band	(master_source.flux_aper_hilim_w)	["erg/s/cm^2"]	[stat.error;phot.flux;src.net;stat.max;em.X-ray]
usrid	separation	probability	dataset_id	name	ra	dec	err_ellipse_r0	conf_flag	sat_src_flag	significance	flux_aper_b	flux_aper_lolim_b	flux_aper_hilim_b	flux_aper_w	flux_aper_lolim_w	flux_aper_hilim_w
     11	   174.15	     0.00	    236008	CXO J010021.9-334120	 01 00 21.98	-33 41 20.16	   0.87	FALSE	FALSE	   3.63	7.598e-15	5.695e-15	9.842e-15	         	         	         
     19	    23.87	     0.00	    251806	CXO J194456.6-144830	 19 44 56.64	-14 48 30.22	   0.53	FALSE	FALSE	  14.35	5.632e-14	5.240e-14	6.028e-14	         	         	         
     19	    74.53	     0.00	    251809	CXO J194454.6-144713	 19 44 54.60	-14 47 13.45	   0.72	FALSE	FALSE	   3.55	4.174e-15	3.084e-15	5.429e-15	         	         	         
     19	    79.49	     0.00	    251805	CXO J194501.5-144909	 19 45 01.58	-14 49 09.11	   0.83	FALSE	FALSE	   3.14	3.842e-15	2.675e-15	5.223e-15	         	         	         
     19	   107.71	     0.00	    251789	CXO J194451.9-144919	 19 44 51.91	-14 49 19.13	   0.71	FALSE	FALSE	   3.73	2.651e-15	1.917e-15	3.451e-15	         	         	         
     19	   112.49	     0.00	    251794	CXO J194451.9-144658	 19 44 51.90	-14 46 58.41	   0.61	FALSE	FALSE	   5.28	1.498e-14	1.110e-14	1.614e-14	         	         	         
     19	   137.54	     0.00	    251810	CXO J194449.5-144704	 19 44 49.50	-14 47 04.26	   0.94	FALSE	FALSE	   3.05	4.502e-15	3.140e-15	6.132e-15	         	         	         
     19	   158.68	     0.00	    251807	CXO J194508.5-144745	 19 45 08.52	-14 47 45.57	   0.93	FALSE	FALSE	   4.66	1.015e-14	8.104e-15	1.244e-14	         	         	         
     22	    30.97	     0.00	     66504	CXO J002020.9+591759	 00 20 20.92	+59 17 59.20	   0.42	FALSE	FALSE	  17.95	2.056e-13	1.943e-13	2.170e-13	         	         	         
     22	    40.26	     0.00	     66502	CXO J002012.4+591758	 00 20 12.47	+59 17 58.44	   0.40	 TRUE	FALSE	   4.41	5.510e-15	4.759e-15	6.253e-15	         	         	         
     22	    44.22	     0.00	     66503	CXO J002014.9+591853	 00 20 14.97	+59 18 53.94	   0.38	FALSE	FALSE	   6.67	6.781e-15	6.148e-15	7.420e-15	         	         	         
     22	    58.44	     0.00	    154640	CXO J002021.5+591902	 00 20 21.55	+59 19 02.34	   0.48	FALSE	FALSE	   5.40	9.224e-15	8.096e-15	1.034e-14	         	         	         
     22	    62.96	     0.00	    152608	CXO J002009.1+591818	 00 20 09.15	+59 18 18.79	   0.47	FALSE	FALSE	   4.45	3.964e-15	3.329e-15	4.605e-15	         	         	         
     22	    72.01	     0.00	    152605	CXO J002009.1+591738	 00 20 09.14	+59 17 38.36	   0.62	FALSE	FALSE	   4.30	1.040e-14	8.169e-15	1.296e-14	         	         	         
     22	    73.77	     0.00	    152609	CXO J002026.0+591845	 00 20 26.03	+59 18 45.48	   0.83	FALSE	FALSE	   5.33	3.689e-15	2.883e-15	4.500e-15	         	         	         
     22	    74.30	     0.00	    154650	CXO J002024.2+591721	 00 20 24.27	+59 17 21.62	   1.06	FALSE	FALSE	   3.24	2.592e-15	1.830e-15	3.479e-15	         	         	         
     22	    78.42	     0.00	    154639	CXO J002007.9+591844	 00 20 07.94	+59 18 44.76	   0.86	FALSE	FALSE	   3.47	8.658e-16	5.432e-16	1.204e-15	         	         	         
     22	    88.01	     0.00	    152611	CXO J002007.3+591857	 00 20 07.39	+59 18 57.68	   0.38	FALSE	FALSE	   8.36	1.952e-14	1.781e-14	2.125e-14	         	         	         
     22	   110.28	     0.00	    152602	CXO J002013.6+591626	 00 20 13.69	+59 16 26.93	   0.27	FALSE	FALSE	   9.68	1.165e-14	1.086e-14	1.242e-14	         	         	         
     22	   115.14	     0.00	    152616	CXO J002011.4+591627	 00 20 11.45	+59 16 27.68	   0.70	FALSE	FALSE	   3.45	4.119e-15	2.936e-15	5.470e-15	         	         	         
     22	   121.76	     0.00	    152603	CXO J002029.1+591651	 00 20 29.11	+59 16 51.79	   0.29	FALSE	FALSE	  71.27	1.111e-12	1.101e-12	1.120e-12	         	         	         
     22	   160.06	     0.00	     66497	CXO J002022.8+591539	 00 20 22.83	+59 15 39.18	   0.74	FALSE	FALSE	   3.48	2.217e-15	1.491e-15	2.998e-15	         	         	         
     22	   166.80	     0.00	     66501	CXO J002038.7+591741	 00 20 38.70	+59 17 41.08	   0.64	FALSE	FALSE	   4.47	4.067e-15	3.302e-15	4.841e-15	         	         	         
     22	   167.94	     0.00	    152600	CXO J002008.3+591540	 00 20 08.36	+59 15 40.40	   0.40	FALSE	FALSE	   4.55	7.370e-15	6.351e-15	8.400e-15	         	         	         
     22	   176.85	     0.00	    152599	CXO J002024.4+591525	 00 20 24.48	+59 15 25.42	   0.26	FALSE	FALSE	  17.97	5.909e-14	5.697e-14	6.119e-14	         	         	         
     29	     0.04	     0.71	      8086	CXO J004241.8+405155	 00 42 41.83	+40 51 55.03	   0.26	 TRUE	FALSE	  23.57	3.183e-14	3.056e-14	3.312e-14	         	         	         
     29	     8.43	     0.00	      8085	CXO J004242.5+405152	 00 42 42.54	+40 51 52.44	   0.15	 TRUE	FALSE	 112.21	8.847e-13	8.777e-13	8.919e-13	4.688e-13	4.439e-13	4.939e-13
     29	     9.56	     0.00	      8110	CXO J004241.7+405145	 00 42 41.72	+40 51 45.53	   0.67	 TRUE	FALSE	   3.18	8.120e-16	2.964e-16	1.331e-15	         	         	         
     29	    19.59	     0.00	      8111	CXO J004240.1+405150	 00 42 40.15	+40 51 50.66	   0.70	FALSE	FALSE	  15.50	6.224e-16	1.577e-16	1.087e-15	         	         	         
     29	    39.48	     0.00	      8087	CXO J004241.5+405234	 00 42 41.58	+40 52 34.38	   0.61	FALSE	FALSE	   3.21	1.506e-15	1.023e-15	1.992e-15	         	         	         
     29	    39.86	     0.00	      8182	CXO J004240.7+405117	 00 42 40.74	+40 51 17.10	   0.23	FALSE	FALSE	  26.16	2.867e-13	2.778e-13	2.957e-13	6.653e-13	6.101e-13	7.210e-13
     29	    42.38	     0.00	      8098	CXO J004242.5+405113	 00 42 42.51	+40 51 13.33	   0.67	FALSE	FALSE	   3.61	2.185e-15	1.594e-15	2.773e-15	         	         	         
     29	    93.53	     0.00	      8089	CXO J004235.2+405250	 00 42 35.21	+40 52 50.69	   0.48	FALSE	FALSE	   8.07	1.126e-14	9.873e-15	1.264e-14	         	         	         
     29	   114.71	     0.00	      8084	CXO J004250.8+405103	 00 42 50.84	+40 51 03.01	   0.76	FALSE	FALSE	   4.06	1.647e-15	1.222e-15	2.118e-15	         	         	         
     29	   114.92	     0.00	      8083	CXO J004247.8+405022	 00 42 47.80	+40 50 22.18	   0.65	FALSE	FALSE	   5.44	1.751e-15	1.371e-15	2.133e-15	         	         	         
     29	   117.40	     0.00	      8092	CXO J004243.3+405351	 00 42 43.31	+40 53 51.20	   0.40	FALSE	FALSE	  10.04	8.748e-15	7.920e-15	9.584e-15	         	         	         
     29	   123.11	     0.00	      8088	CXO J004251.9+405240	 00 42 51.91	+40 52 40.67	   0.57	FALSE	FALSE	   6.08	3.809e-15	3.111e-15	4.514e-15	         	         	         
     29	   158.08	     0.00	      8090	CXO J004253.6+405318	 00 42 53.68	+40 53 18.21	   0.40	FALSE	FALSE	  13.61	1.395e-14	1.276e-14	1.512e-14	         	         	         
     29	   177.97	     0.00	      8091	CXO J004254.3+405342	 00 42 54.35	+40 53 42.31	   0.91	FALSE	FALSE	   3.41	1.006e-16	0.000e+00	2.045e-16	         	         	         
     35	   168.19	     0.00	      8663	CXO J004214.2+403919	 00 42 14.22	+40 39 19.74	   4.91	FALSE	FALSE	   9.90	3.720e-13	3.150e-13	4.284e-13	         	         	         
     36	     0.04	     0.30	    206172	CXO J004244.3+411608	 00 42 44.35	+41 16 08.64	   0.08	 TRUE	FALSE	  19.11	1.384e-13	1.323e-13	1.446e-13	8.670e-14	8.465e-14	8.878e-14
     36	     1.21	     0.00	    207071	CXO J004244.3+411607	 00 42 44.37	+41 16 07.43	   0.08	 TRUE	FALSE	  27.79	4.022e-13	3.886e-13	4.160e-13	1.345e-13	1.325e-13	1.365e-13
     36	     1.94	     0.00	    208191	CXO J004244.4+411607	 00 42 44.49	+41 16 07.51	   0.43	 TRUE	FALSE	   5.67	         	         	         	1.840e-14	1.520e-14	2.164e-14
     36	     3.31	     0.00	    208043	CXO J004244.3+411605	 00 42 44.37	+41 16 05.30	   0.08	 TRUE	FALSE	  27.66	1.371e-13	1.315e-13	1.427e-13	8.011e-14	7.865e-14	8.158e-14
     36	     5.02	     0.00	    206141	CXO J004243.9+411610	 00 42 43.94	+41 16 10.64	   0.11	 TRUE	FALSE	  15.61	         	         	         	6.585e-14	6.413e-14	6.758e-14
     36	     5.35	     0.00	    206169	CXO J004244.1+411603	 00 42 44.12	+41 16 03.92	   0.48	 TRUE	FALSE	   5.19	         	         	         	1.873e-14	1.516e-14	2.233e-14
     36	     5.39	     0.00	      8328	CXO J004244.2+411613	 00 42 44.29	+41 16 13.95	   0.12	 TRUE	FALSE	   8.55	1.756e-14	1.596e-14	1.918e-14	1.102e-14	1.047e-14	1.158e-14
     36	     7.13	     0.00	    208818	CXO J004243.8+411612	 00 42 43.82	+41 16 12.51	   0.17	 TRUE	FALSE	  14.88	         	         	         	1.042e-13	1.008e-13	1.076e-13
     36	     7.31	     0.00	      8321	CXO J004243.8+411603	 00 42 43.86	+41 16 03.77	   0.08	 TRUE	FALSE	  11.49	4.198e-14	4.006e-14	4.391e-14	3.031e-14	2.947e-14	3.116e-14
     36	    10.16	     0.00	      8331	CXO J004244.6+411618	 00 42 44.67	+41 16 18.09	   0.08	 TRUE	FALSE	  17.36	5.041e-14	4.850e-14	5.234e-14	3.394e-14	3.306e-14	3.482e-14
     36	    10.23	     0.00	    208048	CXO J004245.2+411611	 00 42 45.23	+41 16 11.08	   0.09	 TRUE	FALSE	  10.67	2.043e-14	1.911e-14	2.176e-14	2.090e-14	2.017e-14	2.163e-14
     36	    13.99	     0.00	      8325	CXO J004245.5+411608	 00 42 45.59	+41 16 08.55	   0.08	 TRUE	FALSE	  23.18	6.752e-14	6.521e-14	6.986e-14	3.363e-14	3.274e-14	3.453e-14
     36	    14.58	     0.00	    207068	CXO J004243.1+411604	 00 42 43.12	+41 16 04.11	   0.42	FALSE	FALSE	  10.65	         	         	         	2.872e-14	2.605e-14	3.141e-14
     36	    15.63	     0.00	      8334	CXO J004245.1+411621	 00 42 45.11	+41 16 21.65	   0.06	 TRUE	FALSE	  21.04	1.952e-13	1.914e-13	1.991e-13	9.621e-14	9.480e-14	9.765e-14
     36	    20.98	     0.00	    206403	CXO J004245.7+411554	 00 42 45.74	+41 15 54.63	   0.22	FALSE	FALSE	   7.27	         	         	         	2.522e-14	2.349e-14	2.697e-14
     36	    21.31	     0.00	    206769	CXO J004243.8+411628	 00 42 43.81	+41 16 29.01	   0.28	 TRUE	FALSE	   5.89	2.080e-14	1.565e-14	2.593e-14	1.463e-14	1.297e-14	1.631e-14
     36	    21.54	     0.00	    206043	CXO J004246.0+411619	 00 42 45.99	+41 16 19.57	   0.15	 TRUE	FALSE	  18.87	4.307e-14	4.091e-14	4.526e-14	6.514e-14	6.281e-14	6.749e-14
     36	    21.70	     0.00	    208206	CXO J004243.8+411629	 00 42 43.89	+41 16 29.66	   0.10	 TRUE	FALSE	  16.42	1.510e-13	1.421e-13	1.600e-13	5.048e-14	4.918e-14	5.178e-14
     36	    23.33	     0.00	    208047	CXO J004246.4+411610	 00 42 46.42	+41 16 10.08	   0.35	FALSE	FALSE	  15.10	         	         	         	4.246e-14	3.976e-14	4.518e-14
     36	    24.60	     0.00	    205173	CXO J004242.1+411608	 00 42 42.17	+41 16 08.21	   0.11	FALSE	FALSE	  23.66	8.249e-13	8.102e-13	8.398e-13	5.076e-13	4.908e-13	5.245e-13
     36	    24.69	     0.00	      8340	CXO J004243.7+411632	 00 42 43.75	+41 16 32.33	   0.07	 TRUE	FALSE	  26.13	1.470e-13	1.435e-13	1.506e-13	1.146e-13	1.131e-13	1.162e-13
     36	    25.89	     0.00	      8317	CXO J004242.4+411553	 00 42 42.48	+41 15 53.65	   0.07	 TRUE	FALSE	  31.67	2.476e-13	2.428e-13	2.523e-13	9.411e-14	9.271e-14	9.553e-14
     36	    29.69	     0.00	      8313	CXO J004242.9+411543	 00 42 43.00	+41 15 43.13	   0.07	 TRUE	FALSE	  27.63	1.835e-13	1.794e-13	1.877e-13	8.053e-14	7.922e-14	8.185e-14
     36	    29.82	     0.00	    208032	CXO J004242.7+411544	 00 42 42.76	+41 15 44.79	   0.43	 TRUE	FALSE	   8.93	         	         	         	2.034e-14	1.809e-14	2.261e-14
     36	    30.21	     0.00	      8330	CXO J004246.9+411615	 00 42 46.96	+41 16 15.54	   0.06	FALSE	FALSE	  37.13	2.571e-13	2.527e-13	2.615e-13	1.400e-13	1.382e-13	1.417e-13
     36	    32.41	     0.00	    208481	CXO J004242.3+411544	 00 42 42.39	+41 15 44.87	   0.34	FALSE	FALSE	   3.86	         	         	         	8.591e-15	7.388e-15	9.806e-15
     36	    32.52	     0.00	    208180	CXO J004246.1+411543	 00 42 46.15	+41 15 43.20	   0.11	FALSE	FALSE	   7.16	2.996e-14	2.771e-14	3.223e-14	1.221e-14	1.162e-14	1.280e-14
     36	    33.50	     0.00	    208053	CXO J004247.1+411619	 00 42 47.15	+41 16 19.78	   0.25	FALSE	FALSE	  56.86	         	         	         	3.923e-13	3.856e-13	3.991e-13
     36	    33.68	     0.00	    206041	CXO J004241.4+411617	 00 42 41.48	+41 16 17.87	   0.34	FALSE	FALSE	  22.99	         	         	         	1.590e-13	1.523e-13	1.658e-13
     36	    34.11	     0.00	      8341	CXO J004243.1+411640	 00 42 43.20	+41 16 40.15	   0.13	FALSE	FALSE	  13.91	4.291e-14	4.069e-14	4.514e-14	2.655e-14	2.526e-14	2.785e-14
     36	    36.16	     0.00	    208958	CXO J004241.2+411615	 00 42 41.21	+41 16 15.78	   0.29	FALSE	FALSE	   4.55	         	         	         	1.037e-14	9.216e-15	1.153e-14
     36	    37.39	     0.00	    208205	CXO J004247.1+411628	 00 42 47.17	+41 16 28.36	   0.06	 TRUE	FALSE	  60.45	8.603e-13	8.517e-13	8.690e-13	3.779e-13	3.751e-13	3.807e-13
     36	    39.00	     0.00	    208956	CXO J004240.8+411609	 00 42 40.89	+41 16 09.59	   0.87	FALSE	FALSE	   3.05	         	         	         	6.680e-15	4.497e-15	8.841e-15
     36	    42.06	     0.00	    206766	CXO J004247.8+411623	 00 42 47.86	+41 16 22.93	   0.15	FALSE	FALSE	   9.13	2.131e-14	1.952e-14	2.312e-14	1.783e-14	1.686e-14	1.882e-14
     36	    42.75	     0.00	    208955	CXO J004241.2+411544	 00 42 41.20	+41 15 44.77	   0.30	FALSE	FALSE	   4.32	         	         	         	1.135e-14	1.016e-14	1.256e-14
     36	    43.98	     0.00	    208034	CXO J004247.8+411549	 00 42 47.88	+41 15 49.77	   0.11	FALSE	FALSE	  25.48	1.308e-14	1.200e-14	1.417e-14	8.708e-14	8.553e-14	8.865e-14
     36	    44.58	     0.00	    208026	CXO J004242.0+411532	 00 42 42.08	+41 15 32.07	   0.10	 TRUE	FALSE	  13.97	2.747e-14	2.574e-14	2.921e-14	1.946e-14	1.877e-14	2.016e-14
     36	    46.16	     0.00	      8306	CXO J004245.0+411523	 00 42 45.10	+41 15 23.21	   0.10	FALSE	FALSE	  11.54	2.795e-14	2.607e-14	2.984e-14	2.030e-14	1.959e-14	2.100e-14
     36	    49.22	     0.00	    208684	CXO J004240.4+411545	 00 42 40.48	+41 15 45.75	   0.39	 TRUE	FALSE	  11.27	         	         	         	4.120e-14	3.773e-14	4.471e-14
     36	    51.60	     0.00	      8337	CXO J004248.7+411624	 00 42 48.71	+41 16 24.39	   0.11	FALSE	FALSE	  13.49	3.667e-14	3.490e-14	3.846e-14	1.650e-14	1.583e-14	1.717e-14
     36	    53.42	     0.00	      8314	CXO J004239.9+411547	 00 42 40.00	+41 15 47.51	   0.07	 TRUE	FALSE	  42.55	2.997e-13	2.948e-13	3.046e-13	1.399e-13	1.382e-13	1.416e-13
     36	    53.51	     0.00	      8311	CXO J004247.8+411532	 00 42 47.89	+41 15 32.94	   0.07	FALSE	FALSE	  29.24	2.171e-13	2.131e-13	2.212e-13	1.708e-13	1.689e-13	1.727e-13
