,xrttime,obsids,countrates
0,2007-06-20 07:31:59,00030955001,0.4488
1,2007-06-22 20:08:46,00030955002,0.4424
2,2007-06-24 17:11:04,00030955003,0.4863
3,2005-08-05 08:17:04,00035166001,0.6320
4,2008-06-11 03:57:43,00035776001,0.4284
5,2018-09-07 11:56:58,00035776006,6.9997E-02
6,2018-09-08 21:23:54,00035776007,9.0834E-02
7,2013-06-07 02:14:00,00049654002,0.2273
8,2014-06-09 16:34:12,00049654004,4.1468E-02
9,2016-02-11 00:32:10,00080898001,5.8269E-02
10,2016-02-16 00:11:28,00080898002,6.1983E-02
11,2018-01-06 12:53:26,00088207001,6.9098E-02
12,2018-02-24 13:20:56,00088207002,6.8805E-02
13,2018-07-17 21:08:31,00088207003,7.4202E-02
