ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,w1x,w1y,w2x,w2y,cntr,source_id,frame_num,scan_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,rchi2,nb,na,w1sat,w2sat,satnum,cc_flags,det_bit,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,w1frtr,w2frtr,mjd,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w1sky,w1sigsk,w1conf,w2sky,w2sigsk,w2conf,w1flux,w1sigflux,w2flux,w2sigflux,w1fitr,w2fitr,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,allwise_cntr,r_allwise,pa_allwise,n_allwise,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,r_2mass,pa_2mass,n_2mass,xscprox,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,x,y,z,spt_ind,htm20
37.5230538,-8.9981209,0.0294,0.0248,-0.0078,179.6946056,-60.4773422,32.0126283,-22.5067851,934.069,245.515,930.363,243.006,6736501086000017,67365a086-000017,86,67365a,17,10.021,0.016,70.0,9.949,9.295,0.015,74.0,2.236,6.078,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,71.647,00,0000,0000,57400.50244884,0,,0,,18.693,4.172,0.000,45.373,4.919,0.000,19795.0000,282.7600,13753.0000,185.8100,7.50,7.50,10.022,0.017,0,0.260,9.272,0.011,18,0.326,10.708,0.025,0,10.055,0.012,18,10.282,0.017,0,9.598,0.011,18,10.108,0.015,2,9.418,0.015,18,10.026,0.014,3,9.343,0.018,19,9.980,0.014,3,9.303,0.018,19,9.949,0.014,3,9.276,0.018,19,9.925,0.014,3,9.257,0.018,19,9.907,0.014,3,9.241,0.019,19,367009101351026021,0.094582,-90.0,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.169542,-106.2,1,0.35,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833479209248680,0.6015849288151900,-0.1564020722532470,100202322,8946043696263
37.5230485,-8.9981368,0.0276,0.0239,-0.0035,179.6946229,-60.4773566,32.0126171,-22.5067983,757.143,496.454,755.606,494.725,6736901087000015,67369a087-000015,87,67369a,15,10.086,0.016,69.6,10.200,9.309,0.014,79.6,3.730,6.706,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,30.889,00,0000,0000,57400.63360744,0,,0,,16.966,3.331,0.000,45.135,4.941,0.000,18646.0000,267.7300,13584.0000,170.7500,7.50,7.50,10.060,0.010,2,0.260,9.305,0.009,0,0.326,10.743,0.012,0,10.101,0.011,0,10.320,0.010,2,9.631,0.009,0,10.145,0.009,2,9.439,0.009,2,10.063,0.009,3,9.357,0.010,3,10.020,0.009,3,9.316,0.010,3,9.992,0.009,3,9.291,0.011,3,9.972,0.010,3,9.275,0.012,3,9.956,0.011,3,9.265,0.013,3,367009101351026021,0.094934,-52.9,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.144358,-86.0,1,0.30,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833479421498490,0.6015848299178070,-0.1564023463454400,100202322,8946043696263
37.5230390,-8.9981351,0.0272,0.0260,-0.0134,179.6946078,-60.4773626,32.0126082,-22.5067935,942.754,466.801,939.954,464.235,7840301036000010,78403a036-000010,36,78403a,10,9.838,0.015,70.2,9.069,9.132,0.014,75.9,5.252,6.820,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,32.936,00,0000,0000,57762.10657458,0,,0,,29.348,3.864,0.000,158.082,9.006,0.000,23427.0000,333.6400,16021.0000,211.0900,7.50,7.50,9.857,0.009,1,0.260,9.138,0.025,3,0.326,10.533,0.010,0,9.917,0.034,2,10.116,0.009,1,9.464,0.025,3,9.948,0.008,1,9.279,0.022,3,9.870,0.008,3,9.197,0.021,3,9.826,0.008,3,9.152,0.021,3,9.796,0.008,3,9.125,0.021,3,9.773,0.008,3,9.106,0.021,3,9.755,0.008,3,9.091,0.022,3,367009101351026021,0.066134,-39.4,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.110298,-87.9,1,0.33,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833480455768410,0.6015847028602600,-0.1564023170399860,100202322,8946043696261
37.5230277,-8.9981222,0.0291,0.0272,-0.0041,179.6945732,-60.4773625,32.0126016,-22.5067775,762.903,737.702,762.416,735.947,7840601109000011,78406a109-000011,109,78406a,11,9.855,0.016,67.0,9.055,9.104,0.016,66.4,2.880,5.762,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,75.538,00,0000,0001,57762.23760581,0,,0,,28.993,4.064,0.000,146.739,8.049,0.000,23049.0000,344.0900,16444.0000,247.6900,7.50,7.50,9.856,0.009,2,0.260,9.097,0.019,2,0.326,10.545,0.011,0,9.888,0.027,2,10.115,0.009,2,9.423,0.019,2,9.946,0.008,2,9.234,0.017,2,9.869,0.008,2,9.153,0.017,2,9.828,0.008,2,9.114,0.017,2,9.800,0.008,3,9.093,0.018,3,9.779,0.008,3,9.079,0.019,3,9.763,0.009,3,9.070,0.020,3,367009101351026021,0.005006,-20.8,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.081922,-121.2,1,0.39,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833481921508660,0.6015845698145030,-0.1564020946633010,100202322,8946043696261
37.5230191,-8.9981100,0.0285,0.0257,-0.0072,179.6945432,-60.4773609,32.0125975,-22.5067632,657.913,355.683,656.393,354.389,7842101085000013,78421a085-000013,85,78421a,13,9.873,0.016,69.9,7.864,9.149,0.015,73.8,2.723,5.098,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,20.626,00,0000,0000,57762.69602432,0,,0,,18.177,3.975,0.000,54.248,5.164,0.000,22680.0000,324.6300,15775.0000,213.8900,7.50,7.50,9.865,0.009,2,0.260,9.122,0.009,2,0.326,10.534,0.011,0,9.910,0.012,2,10.125,0.009,2,9.448,0.009,2,9.959,0.009,2,9.258,0.009,2,9.882,0.009,2,9.177,0.010,2,9.841,0.009,3,9.135,0.011,3,9.815,0.009,3,9.110,0.012,3,9.797,0.010,3,9.094,0.013,3,9.784,0.010,3,9.086,0.014,3,367009101351026021,0.048675,143.7,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.094988,-155.4,1,0.45,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833483088603510,0.6015844725192659,-0.1564018843535610,100202322,8946043696261
37.5230279,-8.9981380,0.0280,0.0248,0.0016,179.6945976,-60.4773728,32.0125959,-22.5067924,488.760,643.344,489.478,642.790,7842501085000009,78425a085-000009,85,78425a,9,9.854,0.016,67.9,7.954,9.131,0.014,77.5,4.004,5.707,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,4.745,00,0000,0000,57762.82705563,0,,0,,19.779,4.092,0.000,54.945,5.371,0.000,23090.0000,340.1200,16043.0000,207.0100,7.50,7.50,9.984,0.009,2,0.260,9.114,0.009,2,0.326,10.681,0.011,2,9.913,0.011,0,10.244,0.009,2,9.440,0.009,2,10.065,0.009,2,9.253,0.009,2,9.979,0.025,2,9.176,0.010,2,9.930,0.063,2,9.137,0.010,2,9.898,0.085,2,9.114,0.011,2,9.874,0.087,3,9.099,0.012,3,9.855,0.086,3,9.088,0.013,3,367009101351026021,0.061610,-2.3,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.072209,-78.5,1,0.34,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833481558443280,0.6015845462793979,-0.1564023670316420,100202322,8946043696261
37.5230344,-8.9981342,0.0313,0.0273,0.0094,179.6946004,-60.4773654,32.0126039,-22.5067911,289.397,913.078,292.422,913.372,7842901085000050,78429a085-000050,85,78429a,50,9.836,0.019,57.1,5.176,9.185,0.015,71.1,3.534,4.096,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,0.201,00,0102,0000,57762.95808690,0,,0,,20.757,4.258,0.000,55.928,4.192,0.000,23463.0000,411.0200,15267.0000,214.7500,7.50,7.50,10.077,0.011,2,0.260,9.135,0.009,2,0.326,10.802,0.015,2,9.918,0.011,2,10.336,0.011,2,9.461,0.009,2,10.149,0.010,3,9.272,0.009,3,10.058,0.010,3,9.193,0.009,3,10.009,0.010,3,9.154,0.010,3,9.976,0.010,3,9.131,0.010,3,9.952,0.010,3,9.116,0.011,3,9.934,0.011,3,9.106,0.012,3,367009101351026021,0.054295,-28.1,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.093873,-89.6,1,0.34,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833480958236330,0.6015846414654110,-0.1564023015253340,100202322,8946043696261
37.5230221,-8.9981407,0.0290,0.0245,-0.0066,179.6945941,-60.4773789,32.0125891,-22.5067930,108.733,283.011,110.135,284.201,7843301085000012,78433a085-000012,85,78433a,12,9.871,0.014,76.2,6.288,9.146,0.014,77.5,1.674,3.893,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,27.638,00,0000,0000,57763.08899089,0,,0,,18.936,3.357,0.000,56.317,4.311,0.000,22713.0000,298.0300,15818.0000,204.0800,7.50,7.50,9.892,0.009,0,0.260,9.175,0.009,2,0.326,10.580,0.011,0,9.974,0.011,2,10.152,0.009,0,9.501,0.009,2,9.980,0.008,0,9.308,0.009,2,9.903,0.008,2,9.227,0.009,2,9.862,0.008,3,9.186,0.009,3,9.836,0.008,3,9.161,0.010,3,9.815,0.008,3,9.144,0.011,3,9.799,0.008,3,9.131,0.011,3,367009101351026021,0.073551,14.3,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.055636,-64.3,1,0.35,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833482108967440,0.6015844624926731,-0.1564024135755980,100202322,8946043696261
37.5230593,-8.9981299,0.0285,0.0307,0.0090,179.6946266,-60.4773441,32.0126305,-22.5067954,572.644,101.811,570.543,100.952,7841001108000008,78410a108-000008,108,78410a,8,9.840,0.018,60.2,6.927,9.138,0.015,73.6,3.443,4.964,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,112.722,00,0000,0000,57762.36850976,0,,0,,23.225,4.883,0.000,84.967,4.471,0.000,23384.0000,388.4700,15929.0000,216.4000,7.50,7.50,9.794,0.009,0,0.260,9.185,0.010,2,0.326,10.487,0.011,0,9.968,0.013,0,10.054,0.009,0,9.511,0.010,2,9.879,0.008,2,9.330,0.009,2,9.807,0.008,2,9.254,0.009,2,9.768,0.008,2,9.214,0.010,2,9.744,0.008,3,9.188,0.010,3,9.727,0.009,3,9.169,0.010,3,9.713,0.009,3,9.155,0.011,3,367009101351026021,0.118647,-74.2,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.183003,-94.6,1,0.31,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833478436920960,0.6015849890475430,-0.1564022273997730,100202322,8946043696263
37.5230443,-8.9981295,0.0302,0.0276,0.0040,179.6946062,-60.4773550,32.0126156,-22.5067900,392.116,387.446,392.294,387.356,7841401109000009,78414a109-000009,109,78414a,9,9.883,0.015,71.2,6.391,9.189,0.016,69.7,3.197,4.714,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,78.268,00,0000,0000,57762.49954102,0,,0,,20.102,4.406,0.000,53.113,4.749,0.000,22469.0000,315.3900,15204.0000,218.1200,7.50,7.50,9.878,0.009,0,0.260,9.180,0.012,2,0.326,10.566,0.011,0,9.979,0.016,2,10.138,0.009,0,9.506,0.012,2,9.963,0.008,0,9.316,0.011,2,9.883,0.008,2,9.236,0.011,2,9.840,0.008,3,9.196,0.012,3,9.810,0.008,3,9.173,0.013,3,9.787,0.008,3,9.160,0.016,3,9.768,0.008,3,9.150,0.018,3,367009101351026021,0.068231,-63.0,1,9.684,0.022,8.852,0.020,6.113,0.014,4.133,0.027,103338235,0.130084,-97.2,1,0.33,12.463,0.0304,11.612,0.0313,10.833,0.0255,0.7833480020526410,0.6015847846325880,-0.1564022205043720,100202322,8946043696263
