ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,w1x,w1y,w2x,w2y,cntr,source_id,frame_num,scan_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,rchi2,nb,na,w1sat,w2sat,satnum,cc_flags,det_bit,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,w1frtr,w2frtr,mjd,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w1sky,w1sigsk,w1conf,w2sky,w2sigsk,w2conf,w1flux,w1sigflux,w2flux,w2sigflux,w1fitr,w2fitr,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,allwise_cntr,r_allwise,pa_allwise,n_allwise,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,r_2mass,pa_2mass,n_2mass,xscprox,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,x,y,z,spt_ind,htm20
242.4674805,49.0337715,0.0464,0.0472,-0.0083,76.6994926,46.2547424,217.5578541,67.5241624,899.433,43.674,895.167,41.278,4570401018000058,45704a018-000058,18,45704a,58,11.445,0.025,44.2,6.915,10.914,0.021,50.9,3.542,4.991,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,115.735,00,0000,0000,56688.93061826,0,,0,,12.759,3.768,0.000,37.192,3.680,0.000,5372.0000,121.4700,3167.2000,62.2440,7.50,7.50,11.504,0.015,2,0.257,10.914,0.017,0,0.322,12.194,0.019,2,11.724,0.021,0,11.761,0.015,2,11.236,0.017,0,11.576,0.016,2,11.036,0.017,0,11.491,0.018,2,10.949,0.019,2,11.446,0.018,3,10.907,0.022,3,11.419,0.019,3,10.884,0.024,3,11.396,0.020,3,10.867,0.027,3,11.369,0.021,3,10.845,0.030,3,2429148401351059600,0.570893,174.7,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.179077,174.3,1,0.58,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030589036180140,-0.5813648693452490,0.7550961459503210,213212230,15284476912195
242.4675137,49.0337412,0.0357,0.0378,-0.0094,76.6994434,46.2547271,217.5579421,67.5241463,822.001,666.175,820.837,664.172,4570001018000062,45700a018-000062,18,45700a,62,11.497,0.019,58.6,4.929,10.933,0.023,47.6,1.438,3.032,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,119.138,00,0000,0000,56688.79895071,0,,0,,11.124,3.267,0.000,37.175,4.114,0.000,5119.0000,87.3300,3112.7000,65.3990,7.50,7.50,11.482,0.013,0,0.257,10.882,0.024,2,0.322,12.154,0.016,0,11.659,0.026,0,11.739,0.013,0,11.204,0.024,2,11.571,0.012,0,11.035,0.030,2,11.496,0.013,2,10.978,0.039,2,11.457,0.015,3,10.959,0.048,3,11.428,0.017,3,10.954,0.056,3,11.404,0.018,3,10.949,0.064,3,11.380,0.020,3,10.945,0.079,3,2429148401351059600,0.460067,-176.8,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.091961,-138.7,1,0.59,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030587513332070,-0.5813653990498751,0.7550957992387040,213212230,15284476912195
242.4674874,49.0337804,0.0374,0.0373,-0.0083,76.6995039,46.2547362,217.5578532,67.5241724,702.700,735.919,702.552,734.495,4568102043000062,45681b043-000062,43,45681b,62,11.458,0.018,59.5,7.940,10.901,0.026,42.2,0.827,4.342,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,71.811,00,0000,0000,56688.20606485,0,,0,,13.005,3.908,0.000,37.659,4.606,0.000,5308.8999,89.2820,3205.2000,75.9090,7.50,7.50,11.448,0.011,0,0.257,11.113,0.092,2,0.322,12.122,0.014,0,11.927,0.120,2,11.705,0.011,0,11.435,0.092,2,11.536,0.011,3,11.223,0.083,3,11.459,0.012,3,11.130,0.115,3,11.417,0.013,3,11.088,0.165,3,11.389,0.015,3,11.063,0.178,3,11.365,0.016,3,11.036,0.182,3,11.341,0.018,3,11.000,0.183,3,2429148401351059600,0.601593,176.5,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.210245,179.6,1,0.60,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030587793869610,-0.5813648018331090,0.7550962477896670,213212230,15284476912195
242.4675319,49.0337554,0.0393,0.0437,-0.0070,76.6994601,46.2547126,217.5579516,67.5241645,896.230,958.786,896.014,956.610,4570401019000066,45704a019-000066,19,45704a,66,11.485,0.022,49.1,4.437,10.930,0.025,42.8,1.834,3.106,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,115.394,00,0000,0000,56688.93074558,0,,0,,12.159,3.455,0.000,37.387,4.504,0.000,5174.2002,105.2900,3119.2000,72.9350,7.50,7.50,11.466,0.013,0,0.257,10.953,0.024,2,0.322,12.151,0.016,0,11.735,0.027,2,11.723,0.013,0,11.275,0.024,2,11.551,0.012,2,11.095,0.024,2,11.471,0.013,3,11.016,0.026,3,11.428,0.014,3,10.974,0.033,3,11.400,0.019,19,10.945,0.046,3,11.376,0.024,19,10.923,0.055,3,11.351,0.025,19,10.904,0.058,3,2429148401351059600,0.515048,-172.4,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.158724,-139.2,1,0.64,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030584801565940,-0.5813653293697680,0.7550959617240420,213212230,15284476912195
242.4675723,49.0337267,0.0390,0.0432,-0.0170,76.6994119,46.2546923,217.5580485,67.5241521,1004.111,971.794,1003.444,969.118,4569702044000073,45697b044-000073,44,45697b,73,11.504,0.021,50.6,18.180,11.003,0.023,48.2,9.759,13.420,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,104.410,00,0000,0000,56688.73311694,0,,0,,10.581,2.608,0.000,36.492,3.853,0.000,5084.7998,100.4600,2917.5000,60.4890,7.50,7.50,11.530,0.012,0,0.257,10.936,0.030,0,0.322,12.248,0.015,0,11.764,0.029,0,11.787,0.012,0,11.258,0.030,0,11.595,0.011,0,11.040,0.030,0,11.504,0.011,0,10.952,0.030,2,11.450,0.012,2,10.920,0.033,2,11.414,0.012,3,10.907,0.037,3,11.384,0.013,3,10.896,0.040,3,11.351,0.014,3,10.879,0.043,3,2429148401351059600,0.438873,-158.1,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.199684,-94.9,1,0.71,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030582450674380,-0.5813658784594390,0.7550956333205280,213212230,15284476912195
242.4675568,49.0337412,0.0395,0.0395,-0.0096,76.6994353,46.2546994,217.5580069,67.5241599,225.948,196.044,226.363,196.706,4566801018000061,45668a018-000061,18,45668a,61,11.478,0.018,60.1,2.879,10.912,0.024,45.9,0.836,1.813,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,107.037,00,0000,0000,56687.74484646,0,,0,,12.654,3.420,0.000,36.567,4.874,0.000,5210.1001,86.7300,3171.8000,69.0820,7.50,7.50,11.446,0.013,2,0.257,10.993,0.027,2,0.322,12.127,0.017,0,11.770,0.035,2,11.703,0.013,2,11.315,0.027,2,11.536,0.013,2,11.116,0.027,2,11.460,0.013,2,11.021,0.030,2,11.419,0.014,3,10.967,0.033,3,11.387,0.015,3,10.927,0.034,3,11.355,0.016,3,10.888,0.036,3,11.322,0.017,3,10.849,0.039,3,2429148401351059600,0.476650,-164.5,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.176481,-113.1,1,0.69,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030583140086120,-0.5813656270216890,0.7550957992387040,213212230,15284476912195
242.4675195,49.0337970,0.0347,0.0386,-0.0045,76.6995214,46.2547123,217.5578806,67.5241971,932.065,685.466,930.383,683.093,4569302043000054,45693b043-000054,43,45693b,54,11.453,0.018,58.9,16.400,10.965,0.021,51.0,7.514,11.360,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,76.886,00,0000,0000,56688.60132207,0,,0,,12.168,3.170,0.000,37.553,4.200,0.000,5330.0000,90.5180,3020.7000,59.2210,7.50,7.50,11.466,0.011,0,0.257,10.910,0.024,0,0.322,12.156,0.014,0,11.721,0.029,0,11.723,0.011,0,11.232,0.024,0,11.548,0.011,1,11.026,0.026,3,11.467,0.011,1,10.941,0.029,3,11.423,0.012,1,10.901,0.033,3,11.391,0.013,1,10.872,0.040,3,11.358,0.014,3,10.841,0.047,3,11.324,0.015,3,10.809,0.054,3,2429148401351059600,0.661401,-176.6,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.280049,-164.6,1,0.70,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030583525501360,-0.5813647776278200,0.7550964377371630,213212230,15284476912195
242.4675301,49.0337493,0.0353,0.0400,-0.0031,76.6994518,46.2547149,217.5579566,67.5241586,628.870,447.310,627.951,446.134,4567702043000064,45677b043-000064,43,45677b,64,11.510,0.019,58.6,11.910,10.914,0.023,47.7,3.025,7.309,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,88.233,00,0000,0000,56688.07427002,0,,0,,11.965,3.914,0.000,37.015,4.226,0.000,5059.8999,86.3680,3165.8999,66.3620,7.50,7.50,11.479,0.017,2,0.257,10.949,0.023,2,0.322,12.179,0.020,0,11.756,0.028,2,11.736,0.017,2,11.271,0.023,2,11.557,0.019,2,11.065,0.025,2,11.479,0.021,3,10.976,0.029,3,11.442,0.023,3,10.933,0.033,3,11.419,0.024,3,10.910,0.037,3,11.399,0.024,3,10.893,0.042,3,11.372,0.025,3,10.876,0.048,3,2429148401351059600,0.492720,-172.5,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.139758,-134.7,1,0.63,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030585355817240,-0.5813653911358569,0.7550958919240079,213212230,15284476912195
242.4675089,49.0337439,0.0359,0.0371,-0.0068,76.6994481,46.2547296,217.5579315,67.5241472,331.964,225.208,331.842,225.396,4566102043000061,45661b043-000061,43,45661b,61,11.469,0.017,63.2,4.864,10.916,0.021,51.9,1.105,2.880,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,69.208,00,0000,0000,56687.54721787,0,,0,,13.429,3.815,0.000,37.307,4.514,0.000,5249.2002,83.1100,3159.1001,60.8610,7.50,7.50,11.443,0.012,2,0.257,10.917,0.021,2,0.322,12.119,0.014,0,11.700,0.024,2,11.700,0.012,2,11.239,0.021,2,11.538,0.012,2,11.057,0.021,2,11.461,0.012,2,10.982,0.023,2,11.419,0.012,2,10.946,0.026,2,11.389,0.013,3,10.925,0.031,3,11.362,0.014,3,10.909,0.035,3,11.333,0.015,3,10.892,0.040,3,2429148401351059600,0.469294,-178.3,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.093000,-148.0,1,0.59,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030587835892390,-0.5813653421076520,0.7550958301338070,213212230,15284476912195
242.4675178,49.0337553,0.0401,0.0405,0.0038,76.6994626,46.2547217,217.5579305,67.5241600,558.297,159.654,556.646,158.740,4567302043000062,45673b043-000062,43,45673b,62,11.488,0.019,57.4,6.552,10.912,0.025,42.8,2.247,4.190,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,113.263,00,0000,0000,56687.94247514,0,,0,,14.647,4.504,0.000,39.276,4.207,0.000,5162.8999,90.0080,3172.8000,74.2090,7.50,7.50,11.439,0.015,2,0.257,10.995,0.041,2,0.322,12.122,0.016,0,11.787,0.055,2,11.696,0.015,2,11.317,0.041,2,11.522,0.015,2,11.123,0.039,2,11.440,0.015,2,11.037,0.045,2,11.393,0.016,3,10.990,0.046,3,11.363,0.017,3,10.953,0.048,3,11.340,0.018,3,10.918,0.049,3,11.314,0.020,3,10.886,0.050,3,2429148401351059600,0.511331,-176.1,1,11.881,0.031,11.313,0.029,8.693,0.029,6.357,0.069,279959889,0.138990,-149.6,1,0.61,14.267,0.0585,13.357,0.0555,12.788,0.0371,-0.3030586238348040,-0.5813652559582960,0.7550959605797800,213212230,15284476912195
