ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,w1x,w1y,w2x,w2y,cntr,source_id,frame_num,scan_id,src,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,rchi2,nb,na,w1sat,w2sat,satnum,cc_flags,det_bit,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,w1frtr,w2frtr,mjd,w1cc_map,w1cc_map_str,w2cc_map,w2cc_map_str,w1sky,w1sigsk,w1conf,w2sky,w2sigsk,w2conf,w1flux,w1sigflux,w2flux,w2sigflux,w1fitr,w2fitr,w1mag,w1sigm,w1flg,w1mcor,w2mag,w2sigm,w2flg,w2mcor,w1mag_1,w1sigm_1,w1flg_1,w2mag_1,w2sigm_1,w2flg_1,w1mag_2,w1sigm_2,w1flg_2,w2mag_2,w2sigm_2,w2flg_2,w1mag_3,w1sigm_3,w1flg_3,w2mag_3,w2sigm_3,w2flg_3,w1mag_4,w1sigm_4,w1flg_4,w2mag_4,w2sigm_4,w2flg_4,w1mag_5,w1sigm_5,w1flg_5,w2mag_5,w2sigm_5,w2flg_5,w1mag_6,w1sigm_6,w1flg_6,w2mag_6,w2sigm_6,w2flg_6,w1mag_7,w1sigm_7,w1flg_7,w2mag_7,w2sigm_7,w2flg_7,w1mag_8,w1sigm_8,w1flg_8,w2mag_8,w2sigm_8,w2flg_8,allwise_cntr,r_allwise,pa_allwise,n_allwise,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,r_2mass,pa_2mass,n_2mass,xscprox,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,x,y,z,spt_ind,htm20
345.8150625,8.8738904,0.0262,0.0213,0.0023,83.0983736,-45.4667163,350.4720374,13.7591174,161.722,550.085,163.955,550.998,6616901144000012,66169a144-000012,144,66169a,12,8.597,0.014,79.7,14.770,7.724,0.012,91.4,6.215,9.943,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,112.675,00,0000,0001,57361.29964782,0,,0,,23.414,4.293,0.000,50.500,3.952,0.000,73468.0000,922.3400,58449.0000,639.7500,7.50,7.50,8.620,0.007,2,0.260,7.765,0.010,2,0.326,9.333,0.009,0,8.581,0.015,2,8.880,0.007,2,8.091,0.010,2,8.689,0.007,2,7.880,0.009,2,8.593,0.007,2,7.784,0.009,2,8.538,0.007,2,7.735,0.009,2,8.502,0.007,3,7.706,0.009,3,8.475,0.007,3,7.685,0.010,3,8.453,0.007,3,7.669,0.011,3,3462109001351015573,0.096077,-6.8,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.116762,177.4,1,1.13,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579050293488550,-0.2421193058545410,0.1542601584359510,200022010,13237369723254
345.8150387,8.8738975,0.0278,0.0222,-0.0041,83.0983520,-45.4666970,350.4720181,13.7591332,69.376,361.824,71.333,363.221,6615801168000011,66158a168-000011,168,66158a,11,8.546,0.014,77.6,19.130,7.729,0.012,87.7,8.078,12.960,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,23.490,00,0000,0000,57360.97175148,0,,0,,22.469,4.460,0.000,50.089,5.252,0.000,76967.0000,991.4500,58180.0000,663.3800,7.50,7.50,8.572,0.007,2,0.260,7.806,0.007,2,0.326,9.282,0.009,0,8.621,0.008,2,8.832,0.007,2,8.132,0.007,2,8.646,0.007,2,7.928,0.006,2,8.554,0.007,2,7.836,0.006,2,8.501,0.007,3,7.788,0.006,3,8.465,0.007,3,7.757,0.007,3,8.438,0.007,3,7.735,0.007,3,8.416,0.007,3,7.717,0.007,3,3462109001351015573,0.101225,46.4,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.168283,147.7,1,1.23,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579049102423970,-0.2421196990727690,0.1542602808710560,200022010,13237369723255
345.8150641,8.8738749,0.0274,0.0248,-0.0023,83.0983627,-45.4667299,350.4720326,13.7591025,949.196,216.520,945.228,213.956,9924101136000007,99241a136-000007,136,99241a,7,8.210,0.018,60.5,9.597,7.373,0.013,81.5,5.651,7.241,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,45.901,00,0000,0000,58444.12062433,0,,0,,23.884,4.677,0.000,57.734,4.745,0.000,104780.0000,1730.7000,80958.0000,993.2600,7.50,7.50,8.245,0.009,0,0.260,7.410,0.008,0,0.326,8.945,0.012,0,8.223,0.010,0,8.505,0.009,0,7.736,0.008,0,8.324,0.008,2,7.536,0.007,2,8.239,0.008,3,7.453,0.007,3,8.193,0.008,3,7.412,0.007,3,8.163,0.008,3,7.386,0.007,3,8.141,0.008,3,7.368,0.007,3,8.123,0.008,3,7.354,0.007,3,3462109001351015573,0.152161,-6.4,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.060841,-179.7,1,1.09,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579050765690570,-0.2421192893311590,0.1542598911480360,200022010,13237369723237
345.8150417,8.8738954,0.0266,0.0217,-0.0079,83.0983538,-45.4667004,350.4720200,13.7591301,97.676,551.947,100.299,553.160,9924701161000009,99247a161-000009,161,99247a,9,8.210,0.014,79.2,21.210,7.392,0.012,89.6,11.570,15.740,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,104.901,00,0000,0000,58444.31697946,0,,0,,21.094,3.789,0.000,56.223,4.938,0.000,104820.0000,1323.5000,79554.0000,888.1100,7.50,7.50,8.287,0.007,0,0.260,7.470,0.007,0,0.326,9.002,0.009,0,8.299,0.009,0,8.546,0.007,0,7.796,0.007,0,8.356,0.007,0,7.585,0.007,2,8.268,0.007,2,7.494,0.007,2,8.220,0.007,2,7.448,0.007,2,8.189,0.007,2,7.421,0.007,2,8.166,0.007,2,7.402,0.007,2,8.147,0.007,3,7.387,0.007,3,3462109001351015573,0.099548,39.0,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.156267,149.5,1,1.23,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579049284012970,-0.2421196503024980,0.1542602446578560,200022010,13237369723255
345.8150902,8.8739113,0.0256,0.0211,0.0035,83.0984227,-45.4667150,350.4720718,13.7591257,294.660,338.369,295.261,338.709,9924301161000009,99243a161-000009,161,99243a,9,8.210,0.013,83.6,19.120,7.382,0.013,81.0,7.147,13.080,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,63.397,00,0000,0001,58444.18607608,0,,0,,19.467,3.236,0.000,56.579,5.570,0.000,104760.0000,1253.5000,80262.0000,990.5100,7.50,7.50,8.280,0.007,0,0.260,7.524,0.008,2,0.326,8.982,0.009,0,8.355,0.011,2,8.540,0.007,0,7.850,0.008,2,8.357,0.007,0,7.627,0.008,2,8.270,0.007,0,7.529,0.008,2,8.222,0.007,3,7.481,0.008,3,8.191,0.007,3,7.453,0.008,3,8.169,0.007,3,7.435,0.008,3,8.150,0.007,3,7.420,0.008,3,3462109001351015573,0.111742,-79.6,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.213313,-154.1,1,1.10,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579050918483720,-0.2421188289602740,0.1542605188435080,200022010,13237369723237
345.8150666,8.8738803,0.0253,0.0217,-0.0049,83.0983700,-45.4667269,350.4720371,13.7591065,571.976,680.970,572.328,680.030,9924901137000008,99249a137-000008,137,99249a,8,8.231,0.014,75.4,16.690,7.412,0.012,89.9,5.972,10.570,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,126.184,00,0000,0000,58444.38243120,0,,0,,22.893,3.842,0.000,58.055,7.330,0.000,102820.0000,1363.2000,78083.0000,868.3900,7.50,7.50,8.225,0.008,2,0.260,7.399,0.008,2,0.326,8.895,0.009,2,8.198,0.009,2,8.484,0.008,2,7.725,0.008,2,8.322,0.007,2,7.536,0.007,2,8.244,0.007,2,7.459,0.007,2,8.199,0.007,2,7.420,0.007,2,8.170,0.007,3,7.396,0.007,3,8.148,0.007,3,7.379,0.007,3,8.129,0.007,3,7.365,0.007,3,3462109001351015573,0.134294,-11.1,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.080811,-173.4,1,1.11,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579050730381330,-0.2421192439719310,0.1542599842676980,200022010,13237369723237
345.8150828,8.8738766,0.0273,0.0230,-0.0026,83.0983856,-45.4667392,350.4720507,13.7590967,16.930,440.937,19.507,442.563,9926101137000011,99261a137-000011,137,99261a,11,8.211,0.014,76.6,16.380,7.403,0.012,87.8,10.020,12.510,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,33.959,00,0000,0000,58444.77501066,0,,0,,23.086,4.631,0.000,55.060,4.254,0.000,104690.0000,1367.1000,78765.0000,896.7900,7.50,7.50,8.273,0.008,0,0.260,7.466,0.006,0,0.326,8.978,0.009,0,8.293,0.007,0,8.533,0.008,0,7.792,0.006,0,8.349,0.007,0,7.580,0.006,0,8.263,0.007,2,7.488,0.006,2,8.215,0.007,2,7.442,0.006,2,8.185,0.007,2,7.414,0.006,2,8.162,0.007,2,7.396,0.006,2,8.143,0.007,3,7.382,0.006,3,3462109001351015573,0.167437,-29.9,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.094632,-135.0,1,1.01,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579051511536389,-0.2421189755717720,0.1542599204634860,200022010,13237369723237
345.8150823,8.8739195,0.0246,0.0230,0.0054,83.0984203,-45.4667038,350.4720678,13.7591363,752.920,438.687,751.126,436.980,9924501137000007,99245a137-000007,137,99245a,7,8.211,0.017,64.2,9.575,7.382,0.011,95.0,4.064,6.285,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,83.603,00,0000,0000,58444.25152777,0,,0,,21.895,4.247,0.000,56.080,5.379,0.000,104660.0000,1629.1000,80270.0000,844.5700,7.50,7.50,8.262,0.011,2,0.260,7.423,0.010,2,0.326,8.962,0.015,2,8.215,0.013,2,8.522,0.011,2,7.749,0.010,2,8.347,0.010,2,7.557,0.009,2,8.264,0.009,2,7.477,0.008,2,8.217,0.009,2,7.436,0.008,2,8.187,0.009,3,7.411,0.008,3,8.164,0.009,3,7.394,0.008,3,8.145,0.009,3,7.379,0.008,3,3462109001351015573,0.082343,-96.5,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.230770,-163.6,1,1.12,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579050370606010,-0.2421189556271000,0.1542606602474250,200022010,13237369723239
345.8150808,8.8739341,0.0242,0.0236,0.0089,83.0984306,-45.4666911,350.4720724,13.7591503,372.656,887.578,375.066,887.527,9925301137000009,99253a137-000009,137,99253a,9,8.180,0.017,63.8,8.480,7.406,0.013,86.6,4.745,6.244,1,0,0.00000,0.00000,0000,0000,3,AA,0,5,0.5,89.063,00,0102,0000,58444.51333124,0,,0,,23.851,4.560,0.000,56.311,5.199,0.000,107780.0000,1688.2000,78539.0000,906.9500,7.50,7.50,8.506,0.008,2,0.260,7.394,0.008,2,0.326,9.250,0.010,2,8.194,0.010,2,8.765,0.008,2,7.720,0.008,2,8.560,0.007,2,7.531,0.007,2,8.460,0.007,2,7.451,0.007,2,8.405,0.007,2,7.411,0.007,2,8.369,0.007,2,7.386,0.007,2,8.342,0.007,2,7.368,0.007,2,8.320,0.007,3,7.354,0.007,3,3462109001351015573,0.098399,-129.0,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.280401,-167.7,1,1.16,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579049926120240,-0.2421189710723770,0.1542609120153660,200022010,13237369723239
345.8150412,8.8738826,0.0243,0.0241,0.0081,83.0983427,-45.4667105,350.4720143,13.7591186,480.605,96.566,479.097,96.027,9923901160000009,99239a160-000009,160,99239a,9,8.216,0.017,63.1,12.940,7.396,0.012,93.7,6.078,8.894,1,0,0.00000,0.00000,0000,0000,3,AA,0,10,1.0,31.684,00,0000,0000,58444.05517258,0,,0,,22.919,5.665,0.000,56.244,5.956,0.000,104220.0000,1652.9000,79236.0000,845.8800,7.50,7.50,8.300,0.008,2,0.260,7.415,0.007,2,0.326,8.985,0.009,2,8.216,0.008,0,8.559,0.008,2,7.741,0.007,2,8.383,0.007,2,7.549,0.007,2,8.298,0.007,2,7.467,0.007,2,8.250,0.007,2,7.425,0.007,2,8.218,0.007,3,7.399,0.007,3,8.195,0.007,3,7.381,0.007,3,8.176,0.007,3,7.367,0.007,3,3462109001351015573,0.139256,27.5,1,8.429,0.023,7.640,0.020,3.731,0.013,0.713,0.023,1135935801,0.120082,137.5,1,1.20,11.399,0.0410,10.682,0.0510,9.762,0.0390,0.9579049596996920,-0.2421196671068180,0.1542600239297760,200022010,13237369723254
