cntr_mf,source_id_mf,ra,dec,nb,na,cc_flags,cat,cntr,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,w3flux_ep,w3sigflux_ep,w4flux_ep,w4sigflux_ep,w1x_ep,w1y_ep,w2x_ep,w2y_ep,w3x_ep,w3y_ep,w4x_ep,w4y_ep,qi_fact,saa_sep,moon_masked,load_id,x,y,z,spt_ind,htm20
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210027,12089a093,55579.36347430,9.685,0.023,2.976,8.862,0.015,1.721,,,,,,,21188.0254,442.0440,17998.8828,249.4260,,,,,941.075,246.407,937.074,243.849,,,,,1.0,101,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210028,12090a117,55579.42969020,9.736,0.031,3.192,8.899,0.025,1.922,,,,,,,20217.2598,570.8790,17396.9062,396.4220,,,,,322.127,852.867,324.521,852.959,,,,,1.0,81,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210029,12093a093,55579.49577870,9.790,0.024,3.844,8.929,0.021,2.265,,,,,,,19226.4199,426.8970,16920.3418,326.3770,,,,,760.118,544.145,758.543,542.345,,,,,1.0,60,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210030,12094a117,55579.56186720,9.724,0.023,3.110,8.900,0.028,1.929,,,,,,,20426.9707,434.7850,17383.7246,445.6290,,,,,143.588,241.507,144.392,242.439,,,,,1.0,39,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210031,12097a094,55579.62808310,9.740,0.025,3.230,9.014,0.022,3.969,,,,,,,20134.2793,465.1460,15652.8672,311.0900,,,,,579.961,859.815,580.892,858.828,,,,,1.0,20,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210032,12101a093,55579.76026010,9.734,0.026,3.175,8.919,0.023,2.140,,,,,,,20257.9883,490.5730,17069.3633,368.8920,,,,,408.249,278.626,407.698,278.369,,,,,1.0,3,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210033,12105a093,55579.89256450,9.716,0.025,3.062,8.939,0.028,2.418,,,,,,,20581.2285,471.5250,16758.5801,433.5830,,,,,224.887,605.826,226.784,606.347,,,,,1.0,-5,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210034,12109a094,55580.02486890,9.750,0.023,3.321,8.894,0.025,1.880,,,,,,,19957.5371,421.1950,17476.6270,400.8030,,,,,47.253,918.928,51.532,920.198,,,,,1.0,24,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210008,01046b114,55214.16722830,9.615,0.019,3.399,8.806,0.020,1.932,6.098,0.018,0.859,4.119,0.028,2.884,22589.0352,401.1950,18949.6484,354.9050,57632.7773,934.8520,3568.3120,93.1610,28.878,253.370,30.420,254.841,26.532,257.322,14.462,128.344,1.0,69,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210009,01049a091,55214.23344440,9.608,0.022,3.495,8.803,0.022,1.966,6.119,0.015,0.832,4.120,0.054,2.883,22736.5254,462.0340,19009.5293,384.0170,56571.3633,762.5060,3563.2900,177.1340,460.298,591.805,460.786,591.304,461.137,590.258,229.824,295.616,1.0,89,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
