cntr_mf,source_id_mf,ra,dec,nb,na,cc_flags,cat,cntr,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,w3flux_ep,w3sigflux_ep,w4flux_ep,w4sigflux_ep,w1x_ep,w1y_ep,w2x_ep,w2y_ep,w3x_ep,w3y_ep,w4x_ep,w4y_ep,qi_fact,saa_sep,moon_masked,load_id,x,y,z,spt_ind,htm20
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970023,08032a173,55445.22089820,14.614,0.087,1.26,13.705,0.112,0.999,,,,,,,226.2,18.04,208,21.41,,,,,488.718,166.840,487.271,166.222,,,,,1.0,13,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970024,08036a173,55445.35320230,14.372,0.074,1.45,13.570,0.105,0.999,,,,,,,282.6,19.23,235.5,22.67,,,,,647.851,342.686,646.176,341.375,,,,,1.0,0,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970025,08040a174,55445.48550650,14.527,0.078,1.17,13.705,0.131,0.999,,,,,,,245,17.6,207.9,25.18,,,,,807.653,502.299,805.676,500.291,,,,,1.0,19,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970026,08044a174,55445.61781060,14.582,0.082,1.21,13.605,0.114,0.984,,,,,,,232.9,17.64,228.1,23.85,,,,,971.144,657.393,968.875,654.698,,,,,1.0,58,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970001,02109a077,55249.30072970,14.438,0.069,1.26,13.819,0.127,1.11,11.067,0.449,1.03,7.434,0.411,0.85,266.1,16.96,187.3,21.87,593.2,245.4,168.4,63.72,743.342,844.096,743.279,842.403,746.711,838.866,371.286,420.368,1.0,110,0011,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970002,02230a104,55253.33670190,14.480,0.067,1.19,13.518,0.089,1.05,10.685,0.257,1.03,6.795,,0.805,255.8,15.75,247.1,20.32,843.5,200,134.3,84.53,936.587,367.131,933.175,364.552,935.116,362.432,467.740,184.376,1.0,111,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970003,02234b104,55253.46900600,14.562,0.075,1.19,13.558,0.093,1.01,11.132,0.411,1.03,6.894,,0.787,237.2,16.48,238,20.29,558.6,211.4,81.09,97.88,773.906,183.539,770.772,181.656,770.761,181.240,386.497,93.622,1.0,70,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970004,02238a105,55253.60143740,14.611,0.084,1.25,13.944,0.131,1.3,10.866,0.327,1.01,7.272,,0.787,226.8,17.51,166.9,20.08,713.6,215,82.31,56.62,607.460,905.677,608.466,904.578,611.418,901.398,303.384,450.863,1.0,29,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970005,02242a105,55253.73374140,14.484,0.069,1.19,13.684,0.108,0.989,10.616,,1.11,6.947,,0.793,254.9,16.2,212,21.12,404.6,247.1,117.7,73.05,442.519,741.991,443.760,741.563,444.845,739.903,220.952,369.907,1.0,10,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970006,02245a080,55253.79982980,14.348,0.071,1.55,13.620,0.101,0.98,11.191,0.424,1.04,7.386,,0.791,288.8,18.8,224.9,21.01,529.3,206.6,71.63,52.22,859.730,203.595,856.129,201.340,856.723,200.426,429.347,103.518,1.0,-1,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
747007601351013697,0747m076_ac51-013697,74.5796310,-7.7679849,1,0,0000,1,747007610136970007,02246a105,55253.86604550,14.550,0.072,1.18,13.917,0.134,1.25,10.796,0.328,1.01,7.149,,0.806,239.9,15.81,171,21.04,761.1,230.2,50.1,84.39,278.205,578.840,279.711,579.136,278.951,578.961,138.875,289.227,1.0,-3,0000,1020,0.2634588269518700,0.9551548006377369,-0.1351619521900690,102322121,9596681614234
