,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   , 9.79E-11                      ,+/- 0.62E-11 ,erg/s/cm^2^          ,2.53e+19,3.87e-07,+/- 2.45E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,14-195 keV (Suzaku)  , -10.1                         ,           ...,log(erg/s/cm^2^)     ,2.53e+19,3.14e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,2
2,3,14-195 keV (Swift)   , 9.1E-11                       ,           ...,erg/cm^2^/s          ,2.53e+19,3.6e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,3
3,4,15-150 keV (Swift)   , 7.6e-11                       ,+/- 3.5e-12 ,erg/cm^2^/s          ,1.99e+19,3.82e-07,+/- 1.76E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,4
4,5,40-100 keV INTEGRAL  , 3.77E-11                      ,+/- 4.71E-12 ,erg cm^-2^ s^-1^     ,1.69e+19,2.23e-07,+/- 2.79E-08 ,Jy                   ,"Broad-band
",                                        ,2006ApJ...636..765B,5
5,6,40-100 keV INTEGRAL  , 3.39E-11                      ,+/- 0.16E-11 ,erg cm^-2^ s^-1^     ,1.69e+19,2.01e-07,+/- 9.47E-09 ,Jy                   ,"Broad-band
",                                        ,2006ApJ...638..642B,6
6,7,40-100 keV INTEGRAL  , 4.3                           ,+/- 0.3    , milliCrab           ,1.69e+19,2.4e-07,+/- 1.67E-08 ,Jy                   ,"Broad-band
",Time-averaged flux                      ,2007ApJS..170..175B,7
7,8,40-100 keV INTEGRAL  , 4.10E-11                      ,           ...,erg/cm^2^/s          ,1.69e+19,2.43e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,8
8,9,20-100 keV INTEGRAL  , 7.230E-11                     ,           ..., erg/s/cm^2^         ,1.45e+19,4.99e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009MNRAS.399..944M,9
9,10,20-100 keV (RXTE)    , 6.29E-11                      ,           ...,erg/cm^2^/s          ,1.45e+19,4.34e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJS..193....3R,10
10,11,20-60 keV (INTEGRAL) , 4.48E-11                      ,+/- 0.12E-11 ,erg/s/cm^2^          ,9.67e+18,4.6299999999999995e-07,+/- 1.24E-08 ,Jy                   ,"Broad-band
",                                        ,2008A&A...485..707P,11
