,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   , 8.08E-11                      ,+/- 0.50E-11 ,erg/s/cm^2^          ,2.53e+19,3.19e-07,+/- 1.98E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,14-195 keV (Suzaku)  , -10.2                         ,           ...,log(erg/s/cm^2^)     ,2.53e+19,2.4899999999999997e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,2
2,3,14-195 keV (Swift)   , 5.8E-11                       ,           ...,erg/cm^2^/s          ,2.53e+19,2.2899999999999997e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,3
3,4,15-150 keV (Swift)   , 6.5e-11                       ,+/- 3.0e-12 ,erg/cm^2^/s          ,1.99e+19,3.27e-07,+/- 1.51E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,4
4,5,40-100 keV INTEGRAL  , 1.30E-11                      ,           ...,erg/cm^2^/s          ,1.69e+19,7.690000000000001e-08,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,5
5,6,20-100 keV (RXTE)    , 8.57E-11                      ,           ...,erg/cm^2^/s          ,1.45e+19,5.91e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJS..193....3R,6
6,7,17-60 keV (INTEGRAL) , 2.06E-11                      ,+/- 0.50E-11 ,erg s^-1^ cm^-2^     ,9.31e+18,2.21e-07,+/- 5.37E-08 ,Jy                   ,"Broad-band
",                                        ,2007A&A...462...57S,7
7,8,20-50 keV (INTEGRAL) , 5.3E-11                       ,+/- 1.2E-11 ,ergs s^-1^ cm^-2^    ,8.46e+18,6.26e-07,+/- 1.42E-07 ,Jy                   ,"Broad-band
",                                        ,2005ApJ...625...89K,8
8,9,15-55 keV (Swift)    , 3.12E-11                      ,+/- 0.17E-11 ,erg/cm^2^/s          ,8.46e+18,3.69e-07,+/- 2.01E-08 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...699..603A,9
9,10,15-50 keV (Suzaku)   , -10.6                         ,           ...,log(erg/s/cm^2^)     ,7.86e+18,3.2e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,10
10,11,20-40 keV (INTEGRAL) , 1.00E-11                      ,           ...,erg/cm^2^/s          ,7.25e+18,1.3800000000000002e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,11
11,12,10-50 keV (Suzaku)   , 1.50                          ,           ...,log(erg/s/cm^2^)     ,7.25e+18,4.3600000000000004e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...727...19F,12
12,13,4-10 keV (XMM)       , 31.4E-12                      ,           ...,erg/cm^2^/s          ,1.69e+18,1.86e-06,    ...      ,Jy                   ,"Broad-band
",Obs. date: 2001-07-12                   ,2010A&A...521A..57T,13
13,14,3-10 keV (Suzaku)    , 9.85E-12                      ,+/- 0.24E-12 ,erg/cm^2^/s          ,1.57e+18,6.27e-07,+/- 1.53E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJ...710.1228L,14
14,15,F_2-10_ keV          , 3.7                           ,+/- 10  %  ,10^-11^ erg/s/cm^2^  ,1.45e+18,2.55e-06,+/- 2.55E-07 ,Jy                   ,"Broad-band
",Energy index 0.60 + 7.4                 ,1989MNRAS.240..833T,15
15,16,2-10 keV             , 46.05E-12                     ,+/- 2.30E-12 ,ergs cm^-2^ s^-1^    ,1.45e+18,3.18e-06,+/- 1.59E-07 ,Jy                   ,"Broad-band
",Flux from 1998ApJS..114...73G           ,2005ApJ...629...61K,16
16,17,2.0-10 keV (HEAO-1)  , 3.0E-11                       ,           ...,ergs cm^-2^ s^-1^    ,1.45e+18,2.07e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2006AJ....131.2843S,17
17,18,2.0-10 keV (XMM)     , 5.3E-11                       ,           ...,ergs cm^-2^ s^-1^    ,1.45e+18,3.66e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2006AJ....131.2843S,18
18,19,2-10 keV (XMM)       , -10.5                         ,           ...,log(erg/cm^2^/s)     ,1.45e+18,2.18e-06,    ...      ,Jy                   ,"Broad-band
",Nuclear flux                            ,2006A&A...455..173P,19
19,20,2-10 keV             , 4.300E-14                     ,           ...,W/m^2^               ,1.45e+18,2.97e-06,    ...      ,Jy                   ,"Broad-band
",Observed flux                           ,2004A&A...418..465L,20
20,21,2-10 keV             , 4.30E-14                      ,           ...,W/m^2^               ,1.45e+18,2.97e-06,    ...      ,Jy                   ,"Broad-band
",Intrinsic flux                          ,2004A&A...418..465L,21
21,22,2-10 keV             , 4.0E-11                       ,           ..., erg/cm^2^/s         ,1.45e+18,2.76e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2004A&A...422...65B,22
22,23,2-10 keV (XMM)       , 4.26E-11                      ,           ..., erg/cm^2^/s         ,1.45e+18,2.94e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2007MNRAS.382..194N,23
