,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   , 5.07E-11                      ,+/- 0.45E-11 ,erg/s/cm^2^          ,2.53e+19,2e-07,+/- 1.78E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,14-195 keV (Suzaku)  , -10.4                         ,           ...,log(erg/s/cm^2^)     ,2.53e+19,1.57e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,2
2,3,14-195 keV (Swift)   , 4.7E-11                       ,           ...,erg/cm^2^/s          ,2.53e+19,1.8600000000000002e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,3
3,4,15-150 keV (Swift)   , 4.2e-11                       ,+/- 3.3e-12 ,erg/cm^2^/s          ,1.99e+19,2.1100000000000002e-07,+/- 1.66E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,4
4,5,15-55 keV (Swift)    , 2.65E-11                      ,+/- 0.17E-11 ,erg/cm^2^/s          ,8.46e+18,3.13e-07,+/- 2.01E-08 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...699..603A,5
5,6,15-50 keV (Suzaku)   , -10.4                         ,           ...,log(erg/s/cm^2^)     ,7.86e+18,5.06e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,6
6,7,10-50 keV (Suzaku)   , 1.57                          ,           ...,log(erg/s/cm^2^)     ,7.25e+18,5.12e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...727...19F,7
7,8,0.5-30 keV (Suzaku)  , 5.9E-11                       ,+/- 2E-11  ,erg/cm^2^/s          ,3.69e+18,1.6e-06,+/- 5.42E-07 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...703.2171S,8
8,9,4-10 keV (XMM)       , 7.4E-12                       ,           ...,erg/cm^2^/s          ,1.69e+18,4.38e-07,    ...      ,Jy                   ,"Broad-band
",Obs. date: 2000-07-05                   ,2010A&A...521A..57T,9
9,10,F_2-10_ keV          , 1.4                           ,+/- 10  %  ,10^-11^ erg/s/cm^2^  ,1.45e+18,9.64e-07,+/- 9.64E-08 ,Jy                   ,"Broad-band
",Energy index 1.07                       ,1989MNRAS.240..833T,10
10,11,2-10 keV             , 19.06E-12                     ,+/- 1.00E-12 ,ergs cm^-2^ s^-1^    ,1.45e+18,1.31e-06,+/- 6.90E-08 ,Jy                   ,"Broad-band
",Flux from 1998ApJS..114...73G           ,2005ApJ...629...61K,11
11,12,2.0-10 keV (HEAO-1)  , 2.9E-11                       ,           ...,ergs cm^-2^ s^-1^    ,1.45e+18,2e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2006AJ....131.2843S,12
12,13,2.0-10 keV (XMM)     , 1.2E-11                       ,           ...,ergs cm^-2^ s^-1^    ,1.45e+18,8.28e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2006AJ....131.2843S,13
13,14,2-10 keV             , 1.530E-14                     ,           ...,W/m^2^               ,1.45e+18,1.06e-06,    ...      ,Jy                   ,"Broad-band
",Observed flux                           ,2004A&A...418..465L,14
14,15,2-10 keV             , 1.53E-14                      ,           ...,W/m^2^               ,1.45e+18,1.06e-06,    ...      ,Jy                   ,"Broad-band
",Intrinsic flux                          ,2004A&A...418..465L,15
15,16,2-10 keV (ASCA)      , 210.9E-13                     ,           ..., ergs/s/cm^2^        ,1.45e+18,1.45e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2001ApJS..133....1U,16
16,17,2-10 keV (XMM)       , 11.620E-12                    ,+/- 0.180E-12 , erg/cm^2^/s         ,1.45e+18,8.009999999999999e-07,+/- 1.24E-08 ,Jy                   ,"Broad-band
",                                        ,2009A&A...495..421B,17
17,18,2-10 keV (XMM)       , 1.16E-11                      ,           ...,erg/cm^2^/s          ,1.45e+18,8e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...507..159D,18
18,19,2-10 keV (Chandra)   , 2.2E-11                       ,           ...,erg/cm^2^/s          ,1.45e+18,1.52e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2010ApJS..187..581S,19
19,20,2-10 keV (XMM)       , 18.E-12                       ,           ...,erg/s/cm^2^          ,1.45e+18,1.24e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2010ApJ...713L..11Z,20
20,21,2-10 keV (Suzaku)    , -10.6                         ,           ...,log(erg/s/cm^2^)     ,1.45e+18,1.73e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,21
21,22,0.5-10 keV (Suzaku)  , 4.0E-11                       ,+/- 1E-11  ,erg/cm^2^/s          ,1.27e+18,3.15e-06,+/- 7.87E-07 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...703.2171S,22
22,23,0.5-10 keV (Suzaku)  , 0.59E-11                      ,+/- 0.03E-11 ,erg/cm^2^/s          ,1.27e+18,4.65e-07,+/- 2.36E-08 ,Jy                   ,"Broad-band
",                                        ,2011MNRAS.411.2353P,23
23,24,0.1-10 GeV (Fermi)   ,...                            ,<0.81E-12   ,erg/cm^2^/s          ,1.22e+18,,<   6.64E-08 ,Jy                   ,"Broad-band
",                                        ,2011ApJ...740...29K,24
