Pol,1/NTD
1.92,1.253788319288615
3.72,1.3813318105324568
3.81,1.500645622488861
4.51,1.2646619613875918
5.16,0.9756589060409065
7.87,1.069921560915418
1.68,1.0187267508736868
2.3,1.0846827752345916
1.47,1.0549084199630183
2.67,1.1491495130659137
3.99,1.1744574180312302
3.87,0.9898460270156086
2.65,0.405132396070121
14.27,0.5197185425932213
5.82,0.2844969259101729
10.89,0.30868371481415474
18.27,0.2326245945218769
12.34,0.2326245945218769
7.5,0.3785695644098578
4.69,0.4151167841498495
5.66,0.4586062026991398
5.64,0.4586062026991398
6.46,0.4872577452168539
2.78,0.5221766019525822
2.25,0.415707710159174
1.4,0.415707710159174
2.78,0.4722162901947589
2.33,0.4722162901947589
2.07,0.5724579803122923
4.28,0.5724579803122923
7.86,1.438256446344591
8.69,1.4155316483321891
8.05,1.6576502537461546
7.5,1.35653035847939
7.42,1.3406693015736781
6.76,1.2933869563350544
4.09,1.143326562142962
2.87,1.1026797143054954
3.03,1.1026797143054954
0.83,1.0207171048994061
2.75,1.1280965291220866
1.42,1.104872602077494
0.48,0.9795198581693697
2.75,0.9795198581693697
3.97,1.0197036714145613
1.0,1.094607143719202
2.05,1.2026809327329595
2.31,1.3056502868558355
2.5,1.2353713926393268
2.51,1.306873886796366
2.24,1.3025594085755368
1.64,1.2830934209635119
1.69,1.2359851277164566
2.49,1.2733116743090684
0.71,1.2671466171305266
1.25,1.266117416672347
1.6,1.1675037337618286
0.85,1.290777737643839
1.8,1.3108627950069047
2.46,1.1554299320834114
1.45,1.2216027185852956
1.96,1.1981961206984575
4.06,1.044881815976055
3.04,1.1505497241174412
10.91,0.7999039528944124
13.75,0.7999039528944124
12.4,0.9352650832663809
10.91,0.9743590337970665
8.12,1.0005948842816483
6.39,1.0005948842816483
6.13,1.1356860157660587
5.31,1.1270918744351381
2.93,1.1425522353665425
0.91,1.3324789579026273
1.15,1.342896597084825
1.12,1.3570830722517315
1.49,1.3963318590887148
0.81,1.3384777731829576
1.18,1.3145230684969624
0.7,1.521829962908618
0.95,1.5635290698808761
2.32,2.0540462472550187
3.22,1.9562263780003561
1.5,1.455551030726757
25.82,0.35209540673090994
25.31,0.35209540673090994
16.32,0.7844269519799844
12.67,0.8817420093672093
7.2,0.8294079845567932
6.79,0.8294079845567932
5.46,0.7630408286495617
10.32,0.7630408286495617
6.65,0.9192733176278981
4.47,0.9192733176278981
3.91,1.0333757792883849
4.26,1.0333757792883849
2.26,1.05929756848284
2.72,1.05929756848284
1.92,1.2585799089353444
2.42,1.2525707636334145
4.5,1.2525707636334145
0.9,1.6434012539055958
2.59,1.6557266805775415
1.24,1.561748737972217
1.73,1.4174200798406176
2.01,1.5032041822625437
2.39,1.579244543602734
13.47,0.9945600979496163
9.83,1.061189171740926
7.85,1.0641638817388475
2.64,1.1996717740605396
4.07,0.8650828662391219
5.69,0.8134061917457371
1.72,0.9585420369814075
3.02,0.9638248243931193
2.24,0.9530618760559983
3.98,0.8981445998338793
1.22,1.2567059758423806
1.34,1.2681766542043271
1.25,1.3392331682622172
1.0,0.9475593760707628
0.65,1.0107996663111107
1.77,1.0125583438652206
1.08,0.9951886003178056
1.3,0.9833082610223227
0.85,0.9226618700594836
3.93,0.9226618700594836
2.05,0.6176516614722575
5.15,0.6080714156114448
4.01,0.5228960081603692
