,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   , 6.22E-11                      ,+/- 0.52E-11 ,erg/s/cm^2^          ,2.53e+19,2.46e-07,+/- 2.06E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,14-195 keV (Suzaku)  , -10.4                         ,           ...,log(erg/s/cm^2^)     ,2.53e+19,1.57e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,2
2,3,14-195 keV (Swift)   , 5.1E-11                       ,           ...,erg/cm^2^/s          ,2.53e+19,2.0199999999999998e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,3
3,4,14-170 keV (Swift)   , 5.0E-11                       ,+/- 1E-11  , ergs/cm^2^/s        ,2.22e+19,2.25e-07,+/- 4.50E-08 ,Jy                   ,"Broad-band
",                                        ,2008ApJ...673...96A,4
4,5,14-170 keV (BAT)     , 4.78E-11                      ,           ..., erg/cm^2^/s         ,2.22e+19,2.15e-07,    ...      ,Jy                   ,"Broad-band
",S/N = 8.2                               ,2008ApJ...678..102A,5
5,6,15-150 keV (Swift)   , 4.4e-11                       ,+/- 4.7e-12 ,erg/cm^2^/s          ,1.99e+19,2.21e-07,+/- 2.36E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,6
6,7,15-55 keV (Swift)    , 2.38E-11                      ,+/- 0.19E-11 ,erg/cm^2^/s          ,8.46e+18,2.81e-07,+/- 2.25E-08 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...699..603A,7
7,8,15-50 keV (Suzaku)   , -10.3                         ,           ...,log(erg/s/cm^2^)     ,7.86e+18,6.38e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,8
8,9,10-50 keV (Suzaku)   , 1.77                          ,           ...,log(erg/s/cm^2^)     ,7.25e+18,8.12e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...727...19F,9
9,10,2-10 keV (XMM)       , 3.34E-12                      ,           ..., ergs/cm^2^/s        ,1.45e+18,2.3e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...674..686W,10
10,11,2-10 keV (Swift)     , 13.6E-12                      ,           ...,erg/s/cm^2^          ,1.45e+18,9.38e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...507.1345P,11
11,12,2-10 keV (Suzaku)    , -10.5                         ,           ...,log(erg/s/cm^2^)     ,1.45e+18,2.18e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,12
12,13,2-10 keV (XMM)       , 335E-14                       ,           ...,erg/s/cm^2^          ,1.45e+18,2.3100000000000002e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011MNRAS.413.1206B,13
13,14,0.1-2.4 keV (ROSAT)  , 9.63e-13                      ,+/- 2.69e-13 ,erg/cm^2^/s          ,3.02e+17,3.19e-07,+/- 8.91E-08 ,Jy                   ,"Broad-band
",Unabsorbed flux                         ,2010MNRAS.401.1151M,14
14,15,0.3-2 keV (XMM)      , 0.63E-12                      ,           ..., ergs/cm^2^/s        ,2.78e+17,2.2699999999999998e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...674..686W,15
15,16,0.3-2 keV (Suzaku)   , -10.4                         ,           ...,log(erg/s/cm^2^)     ,2.78e+17,1.4300000000000002e-05,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,16
16,17,O VII 22.1 A (XMM)   , 6.52E-14                      ,+/- 5.23E-14 ,erg/cm^2^/s          ,1.36e+17,6520000000.0,+/- 5.23E+09 ,Jy-Hz                ,"Line
",                                        ,2011ApJ...727..130K,17
17,18,FUV (GALEX) AB       , 15.5680                       ,+/- 0.0182173 ,mag                  ,1950000000000000.0,0.00215,+/- 3.61E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,18
18,19,FUV (GALEX) AB       , 16.2935                       ,+/- 0.0281116 ,mag                  ,1950000000000000.0,0.0011,+/- 2.86E-05 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,19
19,20,FUV (GALEX) AB       , 15.2423                       ,+/- 0.00316930 ,mag                  ,1950000000000000.0,0.0029,+/- 8.48E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GMSC..C...0000S,20
20,21,FUV (GALEX) AB       , 16.0808                       ,+/- 0.00522671 ,mag                  ,1950000000000000.0,0.00134,+/- 6.46E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GMSC..C...0000S,21
21,22,NUV (GALEX) AB       , 15.3897                       ,+/- 0.00933070 ,mag                  ,1290000000000000.0,0.0025399999999999997,+/- 2.18E-05 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GASC..C...0000S,22
22,23,NUV (GALEX) AB       , 16.5230                       ,+/- 0.0182500 ,mag                  ,1290000000000000.0,0.000893,+/- 1.50E-05 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GASC..C...0000S,23
23,24,NUV (GALEX) AB       , 15.2808                       ,+/- 0.00171975 ,mag                  ,1290000000000000.0,0.0028,+/- 4.44E-06 ,Jy                   ,"Broad-band
",Kron flux in elliptical aperture        ,2012GMSC..C...0000S,24
24,25,NUV (GALEX) AB       , 16.6261                       ,+/- 0.00360226 ,mag                  ,1290000000000000.0,0.0008119999999999999,+/- 2.69E-06 ,Jy                   ,"Broad-band
",Flux in 7.5 arcsec diameter aperture    ,2012GMSC..C...0000S,25
25,26,B (m_B)              , 13.78                         ,+/- 0.21   ,mag                  ,681000000000000.0,0.0131,+/- 2.80E-03 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,26
26,27,B (Cousins) (B_T)    , 13.81                         ,+/- 0.09   ,mag                  ,681000000000000.0,0.0128,+/- 1.10E-03 ,Jy                   ,"Broad-band
",See ESO-LV catalog for warning flag.    ,1989ESOLV.C...0000L,27
27,28,B (m_B^0)            , 13.58                         ,           ...,mag                  ,681000000000000.0,0.0158,    ...      ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,28
28,29,B (Cousins) (B_26)   , 13.82                         ,+/- 0.09   ,mag                  ,681000000000000.0,0.0126,+/- 1.09E-03 ,Jy                   ,"Broad-band
",See ESO-LV catalog for warning flag.    ,1989ESOLV.C...0000L,29
29,30,B (Cousins) (B_25)   , 13.85                         ,+/- 0.09   ,mag                  ,681000000000000.0,0.0123,+/- 1.06E-03 ,Jy                   ,"Broad-band
",See ESO-LV catalog for warning flag.    ,1989ESOLV.C...0000L,30
30,31,H{beta}              , 52E-15                        ,+/- 11E-15 ,erg/cm^2^/s          ,617000000000000.0,5200000000.0,+/- 1.10E+09 ,Jy-Hz                ,"Line
",Observed flux                           ,2009A&A...507.1345P,31
31,32,[O III] 5007         , 320E-15                       ,+/- 30E-15 ,erg/cm^2^/s          ,599000000000000.0,32000000000.0,+/- 3.00E+09 ,Jy-Hz                ,"Line
",Observed flux                           ,2009A&A...507.1345P,32
32,33,R (Cousins) (R_T)    , 12.73                         ,+/- 0.09   ,mag                  ,468000000000000.0,0.025,+/- 2.16E-03 ,Jy                   ,"Broad-band
",See ESO-LV catalog for warning flag.    ,1989ESOLV.C...0000L,33
33,34,R (Cousins) (R_25)   , 12.79                         ,+/- 0.09   ,mag                  ,468000000000000.0,0.0235,+/- 2.03E-03 ,Jy                   ,"Broad-band
",See ESO-LV catalog for warning flag.    ,1989ESOLV.C...0000L,34
34,35,R (Cousins) (R_26)   , 12.76                         ,+/- 0.09   ,mag                  ,468000000000000.0,0.0243,+/- 2.10E-03 ,Jy                   ,"Broad-band
",See ESO-LV catalog for warning flag.    ,1989ESOLV.C...0000L,35
35,36,H{alpha}             , 180E-15                       ,+/- 20E-15 ,erg/cm^2^/s          ,457000000000000.0,18000000000.0,+/- 2.00E+09 ,Jy-Hz                ,"Line
",Observed flux                           ,2009A&A...507.1345P,36
36,37,J (ESO/SPM)          , 25.9                          ,+/- 1.72   ,milliJy              ,250000000000000.0,0.0259,+/- 1.72E-03 ,Jy                   ,"Broad-band
","15"" aperture                            ",1995ApJ...453..616S,37
37,38,J (2MASS/CTIO)       , 11.943                        ,+/- 0.006  ,mag                  ,243000000000000.0,0.0266,+/- 1.47E-04 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,38
38,39,J (2MASS/CTIO)       , 12.459                        ,+/- 0.068  ,mag                  ,243000000000000.0,0.0166,+/- 1.04E-03 ,Jy                   ,"Broad-band
",Profile-fit; Poor quality               ,2006AJ....131.1163S,39
39,40,J                    , 11.170                        ,+/- 0.018  ,mag                  ,240000000000000.0,0.0542,+/- 9.06E-04 ,Jy                   ,"Broad-band
",  47.2 x   32.1 arcsec integration area.,20032MASX.C.......:,40
40,41,J_14arcsec (2MASS)   , 11.628                        ,+/- 0.006  ,mag                  ,240000000000000.0,0.0355,+/- 1.97E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,41
41,42,J                    , 11.104                        ,+/- 0.019  ,mag                  ,240000000000000.0,0.0576,+/- 1.02E-03 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,42
42,43,[Fe II] 1.257 line   , 4.84E-15                      ,+/- 0.21E-15 ,erg cm^-2^ s^-1^     ,238000000000000.0,484000000.0,+/- 2.10E+07 ,Jy-Hz                ,"Line
",                                        ,2005MNRAS.364.1041R,43
43,44,Pa{beta} line        , 2.14E-15                      ,+/- 0.65E-15 ,erg cm^-2^ s^-1^     ,234000000000000.0,214000000.0,+/- 6.50E+07 ,Jy-Hz                ,"Line
",Narrow component                        ,2005MNRAS.364.1041R,44
44,45,H (ESO/SPM)          , 42.7                          ,+/- 2.84   ,milliJy              ,190000000000000.0,0.0427,+/- 2.84E-03 ,Jy                   ,"Broad-band
","15"" aperture                            ",1995ApJ...453..616S,45
45,46,H                    , 10.452                        ,+/- 0.022  ,mag                  ,182000000000000.0,0.0675,+/- 1.38E-03 ,Jy                   ,"Broad-band
",  47.2 x   32.1 arcsec integration area.,20032MASX.C.......:,46
46,47,H_14arcsec (2MASS)   , 10.911                        ,+/- 0.006  ,mag                  ,182000000000000.0,0.0442,+/- 2.45E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,47
47,48,H                    , 10.395                        ,+/- 0.021  ,mag                  ,182000000000000.0,0.0712,+/- 1.39E-03 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,48
48,49,H (2MASS/CTIO)       , 11.22                         ,+/- 0.009  ,mag                  ,180000000000000.0,0.0333,+/- 2.76E-04 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,49
49,50,H (2MASS/CTIO)       , 11.695                        ,+/- 0.078  ,mag                  ,180000000000000.0,0.0215,+/- 1.54E-03 ,Jy                   ,"Broad-band
",Profile-fit; Poor quality               ,2006AJ....131.1163S,50
50,51,H_2_ (1-0) S(3) line , 2.88E-15                      ,+/- 0.36E-15 ,erg cm^-2^ s^-1^     ,153000000000000.0,288000000.0,+/- 3.60E+07 ,Jy-Hz                ,"Line
",                                        ,2005MNRAS.364.1041R,51
51,52,H_2_ (1-0) S(2) line , 0.59E-15                      ,+/- 0.12E-15 ,erg cm^-2^ s^-1^     ,147000000000000.0,59000000.0,+/- 1.20E+07 ,Jy-Hz                ,"Line
",                                        ,2005MNRAS.364.1041R,52
52,53,H_2_ (1-0) S(1) line , 4.36E-15                      ,           ...,erg cm^-2^ s^-1^     ,141000000000000.0,436000000.0,    ...      ,Jy-Hz                ,"Line
",Nuclear H_2_ gas                        ,2005MNRAS.364.1041R,53
53,54,H_2_ (1-0) S(1) line , 2.04E-15                      ,+/- 0.10E-15 ,erg cm^-2^ s^-1^     ,141000000000000.0,204000000.0,+/- 1.00E+07 ,Jy-Hz                ,"Line
",                                        ,2005MNRAS.364.1041R,54
54,55,K_s (2MASS/CTIO)     , 11.014                        ,+/- 0.043  ,mag                  ,139000000000000.0,0.0262,+/- 1.04E-03 ,Jy                   ,"Broad-band
",Profile-fit                             ,2006AJ....131.1163S,55
55,56,K_s (2MASS/CTIO)     , 10.803                        ,+/- 0.011  ,mag                  ,139000000000000.0,0.0318,+/- 3.22E-04 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,56
56,57,K_s                  , 10.025                        ,+/- 0.033  ,mag                  ,138000000000000.0,0.0652,+/- 2.01E-03 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,57
