,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,15-150 keV (Swift)   , 1.8e-11                       ,+/- 1.1e-11 ,erg/cm^2^/s          ,1.99e+19,9.050000000000001e-08,+/- 5.53E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,1
1,2,20-100 keV BeppoSAX  , 81.1E-12                      ,           ...,erg cm^-2^ s^-1^     ,1.45e+19,5.59e-07,    ...      ,Jy                   ,"Broad-band
",Flux at source; avg spec param reported ,2005A&A...441...69L,2
2,3,20-100 keV BeppoSAX  , 15.4E-12                      ,           ...,erg cm^-2^ s^-1^     ,1.45e+19,1.06e-07,    ...      ,Jy                   ,"Broad-band
",Average spectrum params reported        ,2005A&A...441...69L,3
3,4,2-10 keV (XMM)       , 5.8E-12                       ,+/- 2E-12  ,erg/cm^2^/s          ,1.45e+18,4e-07,+/- 1.38E-07 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...703..390L,4
4,5,0.2-4 keV (EINSTEIN) , 219.62E-13                    ,           ...,ergs sec^-1^ cm^-2^  ,5.25e+17,4.19e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,1992ApJS...80..531F,5
5,6,0.2-4 keV (EINSTEIN) , 82.68E-13                     ,           ...,ergs sec^-1^ cm^-2^  ,5.25e+17,1.58e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,1992ApJS...80..531F,6
6,7,FUV (GALEX) AB       , 12.13                         ,+/- 0.02   , mag                 ,1980000000000000.0,0.0511,+/- 9.40E-04 ,Jy                   ,"Broad-band
",                                        ,2007ApJS..173..185G,7
7,8,FUV (GALEX) AB       , 12.046                        ,+/- 0.011  ,mag                  ,1980000000000000.0,0.0552,+/- 5.59E-04 ,Jy                   ,"Broad-band
",Asymptotic magnitude                    ,2009ApJ...703.1569M,8
8,9,FUV (GALEX)          , 54.49                         ,+/- 7.59   ,milliJy              ,1960000000000000.0,0.0545,+/- 7.59E-03 ,Jy                   ,"Broad-band
",                                        ,2007ApJ...655..863D,9
9,10,C IV 1549 (HST)      , 0.42E-13                      ,+/- 40  %  , ergs/s/cm^2^        ,1940000000000000.0,4200000000.0,+/- 1.68E+09 ,Jy-Hz                ,"Line
",Narrow component                        ,2007ApJ...666..757S,10
10,11,C IV 1549 (HST)      , 1.9E-13                       ,           ..., ergs/s/cm^2^        ,1940000000000000.0,19000000000.0,    ...      ,Jy-Hz                ,"Line
",Broad component                         ,2007ApJ...666..757S,11
11,12,1550 A (OAO)         ,...                            ,<10.80      ,mag                  ,1930000000000000.0,,>   1.39E-02 ,Jy                   ,"Broad-band
",Aperture 10.0 arcmin                    ,1982ApJ...256....1C,12
