,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   , 62.23E-11                     ,+/- 0.46E-11 ,erg/s/cm^2^          ,2.53e+19,2.46e-06,+/- 1.82E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,14-195 keV (Swift)   , 376.0E-12                     ,           ...,erg/cm^2^/s          ,2.53e+19,1.49e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2011A&A...531A.131G,2
2,3,14-195 keV (Suzaku)  , -9.5                          ,           ...,log(erg/s/cm^2^)     ,2.53e+19,1.25e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,3
3,4,14-195 keV (XMM)     , 5.33E-10                      ,           ...,erg/s/cm^2^          ,2.53e+19,2.11e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2012A&A...537A..87C,4
4,5,14-195 keV (Swift)   , 37.4E-11                      ,           ...,erg/cm^2^/s          ,2.53e+19,1.48e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,5
5,6,15-150 keV (Swift)   , 4.6e-10                       ,+/- 2.6e-12 ,erg/cm^2^/s          ,1.99e+19,2.31e-06,+/- 1.31E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,6
6,7,40-100 keV INTEGRAL  , 3.77E-10                      ,+/- 9.42E-12 ,erg cm^-2^ s^-1^     ,1.69e+19,2.23e-06,+/- 5.57E-08 ,Jy                   ,"Broad-band
",                                        ,2006ApJ...636..765B,7
7,8,40-100 keV INTEGRAL  , 31.97E-11                     ,+/- 0.20E-11 ,erg cm^-2^ s^-1^     ,1.69e+19,1.89e-06,+/- 1.18E-08 ,Jy                   ,"Broad-band
",                                        ,2006ApJ...638..642B,8
8,9,40-100 keV INTEGRAL  , 40.2                          ,+/- 1.0    , milliCrab           ,1.69e+19,2.24e-06,+/- 5.57E-08 ,Jy                   ,"Broad-band
",Time-averaged flux                      ,2007ApJS..170..175B,9
9,10,40-100 keV INTEGRAL  , 32.30E-11                     ,           ...,erg/cm^2^/s          ,1.69e+19,1.91e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,10
