,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   , 7.19E-11                      ,+/- 0.44E-11 ,erg/s/cm^2^          ,2.53e+19,2.84e-07,+/- 1.74E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,14-195 keV (Swift)   , 7.2E-11                       ,           ...,erg/cm^2^/s          ,2.53e+19,2.85e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,2
2,3,15-150 keV (Swift)   , 5.6e-11                       ,+/- 3.2e-12 ,erg/cm^2^/s          ,1.99e+19,2.81e-07,+/- 1.61E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,3
3,4,40-100 keV INTEGRAL  , 2.20E-11                      ,           ...,erg/cm^2^/s          ,1.69e+19,1.3e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,4
4,5,20-100 keV (Suzaku)  , 7.2E-11                       ,           ...,erg/s/cm^2^          ,1.45e+19,4.970000000000001e-07,    ...      ,Jy                   ,"Broad-band
",Observed flux                           ,2009ApJ...705L...1R,5
5,6,17-60 keV (INTEGRAL) , 3.30E-11                      ,+/- 0.65E-11 ,erg s^-1^ cm^-2^     ,9.31e+18,3.5399999999999997e-07,+/- 6.98E-08 ,Jy                   ,"Broad-band
",                                        ,2007A&A...462...57S,6
6,7,15-55 keV (Swift)    , 3.12E-11                      ,+/- 0.17E-11 ,erg/cm^2^/s          ,8.46e+18,3.69e-07,+/- 2.01E-08 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...699..603A,7
7,8,20-40 keV (INTEGRAL) , 1.50E-11                      ,           ...,erg/cm^2^/s          ,7.25e+18,2.07e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,8
8,9,20-40 keV (INTEGRAL) , 2.102E-11                     ,+/- 0.876E-11 ,erg/s/cm^2^          ,7.25e+18,2.9e-07,+/- 1.21E-07 ,Jy                   ,"Broad-band
",                                        ,2010A&A...522A..68T,9
9,10,10-50 keV (Suzaku)   , 1.77                          ,           ...,log(erg/s/cm^2^)     ,7.25e+18,8.12e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...727...19F,10
10,11,2-10 keV             , 0.660E-14                     ,           ...,W/m^2^               ,1.45e+18,4.55e-07,    4.55E-07 ,Jy                   ,"Broad-band
",Observed flux                           ,2004A&A...418..465L,11
11,12,2-10 keV             , 2.31E-14                      ,           ...,W/m^2^               ,1.45e+18,1.59e-06,    ...      ,Jy                   ,"Broad-band
",Intrinsic flux                          ,2004A&A...418..465L,12
12,13,2-10 keV (Swift)     , 0.88E-12                      ,           ..., erg/s/cm^2^         ,1.45e+18,6.070000000000001e-08,    ...      ,Jy                   ,"Broad-band
",                                        ,2009ApJ...690.1322W,13
13,14,2-10 keV (XMM)       , 1.37E-11                      ,           ...,erg/s/cm^2^          ,1.45e+18,9.45e-07,    ...      ,Jy                   ,"Broad-band
",Observed flux                           ,2009ApJ...696..160R,14
14,15,2-10 keV (Suzaku)    , 1.3E-11                       ,           ...,erg/s/cm^2^          ,1.45e+18,8.97e-07,    ...      ,Jy                   ,"Broad-band
",Observed flux                           ,2009ApJ...705L...1R,15
15,16,2-10 keV (XMM)       , 1296E-14                      ,           ...,erg/s/cm^2^          ,1.45e+18,8.94e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011MNRAS.413.1206B,16
16,17,0.5-10 keV (Suzaku)  , 12.78E-12                     ,+/- 0.83E-12 ,erg/cm^2^/s          ,1.27e+18,1.01e-06,+/- 6.54E-08 ,Jy                   ,"Broad-band
",                                        ,2010MNRAS.408..601W,17
17,18,0.3-8 keV (Chandra)  , 1.06E-12                      ,           ...,erg/s/cm^2^          ,1e+18,1.06e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJS..192...10L,18
18,19,0.2-4 keV (EINSTEIN) , 17.12E-13                     ,           ...,ergs sec^-1^ cm^-2^  ,5.25e+17,3.2600000000000003e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,1992ApJS...80..531F,19
19,20,0.5-2 keV (Swift)    , 0.40E-12                      ,           ..., erg/s/cm^2^         ,3.02e+17,1.32e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009ApJ...690.1322W,20
20,21,0.3-2 keV (XMM)      , 2.61E-12                      ,+/- 0.03E-12 ,erg/cm^2^/s          ,2.78e+17,9.39e-07,+/- 1.08E-08 ,Jy                   ,"Broad-band
",Observed flux                           ,2009A&A...505..589G,21
21,22,0.3-2 keV (Chandra)  , 6.2E-13                       ,+/- 1.3E-13 ,erg/cm^2^/s          ,2.78e+17,2.23e-07,+/- 4.68E-08 ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..589G,22
22,23,O VII 22.1 A (XMM)   , 2.16E-14                      ,+/- 0.44E-14 ,erg/cm^2^/s          ,1.36e+17,2160000000.0,+/- 4.40E+08 ,Jy-Hz                ,"Line
",                                        ,2011ApJ...727..130K,23
23,24,NUV (GALEX) AB       , 11.99                         ,+/- 0.01   , mag                 ,1320000000000000.0,0.0581,+/- 5.35E-04 ,Jy                   ,"Broad-band
",                                        ,2007ApJS..173..185G,24
24,25,U (Johnson)          , 15.50                         ,+/- 0.65   ,milliJy              ,819000000000000.0,0.0155,+/- 6.50E-04 ,Jy                   ,"Broad-band
","29.3"" aperture                          ",1983ApJS...52..341M,25
