,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,2-10 keV             , 0.170E-14                     ,           ...,W/m^2^               ,1.45e+18,1.1699999999999999e-07,    1.17E-07 ,Jy                   ,"Broad-band
",Observed flux                           ,2004A&A...418..465L,1
1,2,2-10 keV             , 0.17E-14                      ,           ...,W/m^2^               ,1.45e+18,1.1699999999999999e-07,    ...      ,Jy                   ,"Broad-band
",Intrinsic flux                          ,2004A&A...418..465L,2
2,3,2-10 keV (ASCA)      , 22.9E-13                      ,           ..., ergs/s/cm^2^        ,1.45e+18,1.58e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2001ApJS..133....1U,3
3,4,0.3-8 keV (Chandra)  , 208.5E-14                     ,+/- 5.91E-14 ,erg/s/cm^2^          ,1e+18,2.0899999999999998e-07,+/- 5.91E-09 ,Jy                   ,"Broad-band
",Nuclear flux                            ,2011ApJ...731...60G,4
4,5,0.7-7 keV (ASCA)     , 29.4E-13                      ,           ..., ergs/s/cm^2^        ,9.31e+17,3.16e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2001ApJS..133....1U,5
5,6,0.2-4 keV (EINSTEIN) , 30.30E-13                     ,           ...,ergs sec^-1^ cm^-2^  ,5.25e+17,5.78e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,1992ApJS...80..531F,6
6,7,0.7-2 keV (ASCA)     , 12.5E-13                      ,           ..., ergs/s/cm^2^        ,3.26e+17,3.83e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2001ApJS..133....1U,7
7,8,0.1-2.4 keV (ROSAT)  , 2.45E-12                      ,+/- 2.96E-13 ,ergs sec^-1^ cm^-2^  ,3.25e+17,7.540000000000001e-07,+/- 9.11E-08 ,Jy                   ,"Broad-band
",                                        ,1994A&A...281..355B,8
8,9,0.2-2 keV (ROSAT)    , 2.8650E-12                    ,+/- 2.4 %  ,erg/s/cm^2^          ,3.15e+17,9.1e-07,+/- 2.19E-08 ,Jy                   ,"Broad-band
",                                        ,2000WGA...C...0000W,9
9,10,1482A (IUE)          , 2.03E-14                      ,+/- 0.38E-14 ,ergs cm^-2 s^-1 A^-1 ,2020000000000000.0,0.00149,+/- 2.79E-04 ,Jy                   ,"Broad-band
","20""x10"" aperture                        ",1993ApJS...86....5K,10
10,11,FUV (GALEX) AB       , 12.71                         ,+/- 0.04   , mag                 ,1980000000000000.0,0.0299,+/- 1.10E-03 ,Jy                   ,"Broad-band
",                                        ,2007ApJS..173..185G,11
11,12,FUV (GALEX) AB       , 12.542                        ,+/- 0.004  ,mag                  ,1980000000000000.0,0.0349,+/- 1.29E-04 ,Jy                   ,"Broad-band
",Asymptotic magnitude                    ,2009ApJ...703.1569M,12
12,13,FUV (GALEX)          , 36.26                         ,+/- 5.19   ,milliJy              ,1960000000000000.0,0.0363,+/- 5.19E-03 ,Jy                   ,"Broad-band
",                                        ,2007ApJ...655..863D,13
13,14,1913A (IUE)          , 1.89E-14                      ,+/- 0.31E-14 ,ergs cm^-2 s^-1 A^-1 ,1570000000000000.0,0.00231,+/- 3.79E-04 ,Jy                   ,"Broad-band
","20""x10"" aperture                        ",1993ApJS...86....5K,14
14,15,NUV (GALEX)          , 50.97                         ,+/- 7.18   ,milliJy              ,1320000000000000.0,0.051,+/- 7.18E-03 ,Jy                   ,"Broad-band
",                                        ,2007ApJ...655..863D,15
15,16,NUV (GALEX) AB       , 12.35                         ,+/- 0.03   , mag                 ,1320000000000000.0,0.0417,+/- 1.15E-03 ,Jy                   ,"Broad-band
",                                        ,2007ApJS..173..185G,16
16,17,NUV (GALEX) AB       , 12.167                        ,+/- 0.003  ,mag                  ,1320000000000000.0,0.0493,+/- 1.36E-04 ,Jy                   ,"Broad-band
",Asymptotic magnitude                    ,2009ApJ...703.1569M,17
17,18,2373A (IUE)          , 1.65E-14                      ,+/- 0.21E-14 ,ergs cm^-2 s^-1 A^-1 ,1260000000000000.0,0.0031,+/- 3.95E-04 ,Jy                   ,"Broad-band
","20""x10"" aperture                        ",1993ApJS...86....5K,18
18,19,2700A (IUE)          , 1.75E-14                      ,+/- 0.12E-14 ,ergs cm^-2 s^-1 A^-1 ,1110000000000000.0,0.00426,+/- 2.92E-04 ,Jy                   ,"Broad-band
","20""x10"" aperture                        ",1993ApJS...86....5K,19
19,20,U (U_T)              , 10.46                         ,+/- 0.07   ,mag                  ,819000000000000.0,0.11900000000000001,+/- 8.22E-03 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,20
20,21,U (U_T^0)            , 10.09                         ,           ...,mag                  ,819000000000000.0,0.16699999999999998,    ...      ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,21
21,22,[O II] 3727          , 6.69E-15                      ,+/- 0.89E-15 ,erg/s/cm^2^          ,804000000000000.0,669000000.0,+/- 8.90E+07 ,Jy-Hz                ,"Line
",Nuclear spectrum                        ,2010ApJS..190..233M,22
22,23,B (m_B)              , 9.96                          ,+/- 0.16   ,mag                  ,681000000000000.0,0.442,+/- 7.02E-02 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,23
23,24,B (B_T^0)            , 9.92                          ,           ...,mag                  ,681000000000000.0,0.45899999999999996,    ...      ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,24
24,25,B (Cousins) (B_T)    , 9.97                          ,+/- 0.09   ,mag                  ,681000000000000.0,0.43700000000000006,+/- 3.78E-02 ,Jy                   ,"Broad-band
",See ESO-LV catalog for warning flag.    ,1989ESOLV.C...0000L,25
25,26,B (Cousins) (B_25)   , 10.05                         ,+/- 0.09   ,mag                  ,681000000000000.0,0.408,+/- 3.53E-02 ,Jy                   ,"Broad-band
",See ESO-LV catalog for warning flag.    ,1989ESOLV.C...0000L,26
26,27,B (Cousins) (B_26)   , 10.00                         ,+/- 0.09   ,mag                  ,681000000000000.0,0.42700000000000005,+/- 3.69E-02 ,Jy                   ,"Broad-band
",See ESO-LV catalog for warning flag.    ,1989ESOLV.C...0000L,27
27,28,B (B_T)              , 10.23                         ,+/- 0.07   ,mag                  ,681000000000000.0,0.345,+/- 2.30E-02 ,Jy                   ,"Broad-band
",                                        ,1991RC3.9.C...0000d,28
28,29,B                    , 0.51                          ,           ...,Jy                   ,666000000000000.0,0.51,    ...      ,Jy                   ,"Broad-band
",                                        ,2007ApJ...655..863D,29
29,30,B_J                  , 10.0730                       ,           ...,mag                  ,641000000000000.0,0.369,    ...      ,Jy                   ,"Broad-band
",                                        ,2005MNRAS.361...34D,30
30,31,H{beta} 4861         , 2.88E-15                      ,+/- 0.82E-15 ,erg/s/cm^2^          ,617000000000000.0,288000000.0,+/- 8.20E+07 ,Jy-Hz                ,"Line
",Nuclear spectrum                        ,2010ApJS..190..233M,31
31,32,[O III] 5007         , 8.00E-15                      ,+/- 0.77E-15 ,erg/s/cm^2^          ,599000000000000.0,800000000.0,+/- 7.70E+07 ,Jy-Hz                ,"Line
",Nuclear spectrum                        ,2010ApJS..190..233M,32
32,33,V                    , 0.84                          ,           ...,Jy                   ,545000000000000.0,0.84,    ...      ,Jy                   ,"Broad-band
",                                        ,2007ApJ...655..863D,33
33,34,V (Johnson)          , 10.98                         ,+/- 0.08   ,mag                  ,542000000000000.0,0.14800000000000002,+/- 1.13E-02 ,Jy                   ,"Broad-band
","43.0"" aperture;Low quality data         ",1978Obs....98..166G,34
34,35,V (Johnson)          , 11.23                         ,+/- 0.08   ,mag                  ,542000000000000.0,0.11699999999999999,+/- 8.97E-03 ,Jy                   ,"Broad-band
","30.7"" aperture;Low quality data         ",1978Obs....98..166G,35
