,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
76,77,2380 MHz             , 2.                            ,+/- 4.     ,milliJy              ,2380000000.0,0.002,+/- 4.00E-03 ,Jy                   ,"Broad-band
",                                        ,1978ApJS...36...53D,77
77,78,1.46 GHz (VLA)       , 3.5                           ,+/- 0.5    ,milliJy              ,1460000000.0,0.0035,+/- 5.00E-04 ,Jy                   ,"Broad-band
",                                        ,1987ApJ...313..651E,78
78,79,HI (21 cm line)      , 15.40                         ,+/- 0.10   ,m_21 mag             ,1420000000.0,30200.0,+/- 2.91E+03 ,Jy-Hz                ,"Line
",m_21 equiv. to S(HI) = 3.020E-22 W m^-2 ,1991RC3.9.C...0000d,79
79,80,HI 21 cm line        , 6.88                          ,           ...,Jy km s^-1^          ,1420000000.0,32100.0,    ...      ,Jy-Hz                ,"Line
",Corrected line flux                     ,2005ApJS..160..149S,80
80,81,HI (21cm line) (VLA) , 5890                          ,+/- 423    , milliJy km/s        ,1420000000.0,27400.0,+/- 1.97E+03 ,Jy-Hz                ,"Line
",                                        ,2008ApJ...679.1047K,81
81,82,HI 21 cm line        , 5.23                          ,           ...,Jy km s^-1^          ,1420000000.0,24400.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2005ApJS..160..149S,82
82,83,HI 21 cm line        , 7.92                          ,+/- 1.05   ,Jy km s^-1^          ,1420000000.0,36900.0,+/- 4.90E+03 ,Jy-Hz                ,"Line
",Self-absorption corrected line flux     ,2005ApJS..160..149S,83
83,84,HI (21 cm line)      , 5.17                          ,+/- 0.83   ,Jy km s^-1^          ,1420000000.0,24000.0,+/- 3.86E+03 ,Jy-Hz                ,"Line
",                                        ,1989H&RHI.C...0000H,84
84,85,HI (21 cm line)      ,...                            ,<7.60       ,Jy km s^-1^          ,1420000000.0,,<   3.53E+04 ,Jy-Hz                ,"Line
",                                        ,1989H&RHI.C...0000H,85
85,86,HI (21 cm line)      , 5.40                          ,           ...,Jy km s^-1^          ,1420000000.0,25100.0,    ...      ,Jy-Hz                ,"Line
",                                        ,1989H&RHI.C...0000H,86
86,87,1.4 GHz (VLA)        , 5.4                           ,           ...,milliJy              ,1400000000.0,0.0054,    ...      ,Jy                   ,"Broad-band
",                                        ,2002AJ....124..675C,87
87,88,1.4GHz               , 5.9                           ,+/- 0.6    ,milliJy              ,1400000000.0,0.0059,+/- 6.00E-04 ,Jy                   ,"Broad-band
",                                        ,1998AJ....115.1693C,88
