Unnamed: 0,V1,V2,V3,V4,V5,X.6,X.5,X.4,X.3,X.2,X.1,VLBI_Counterpart,X,X.x,DataRelease.x,RAJ2000.x,DEJ2000.x,GLON.x,GLAT.x,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_68_PosAng,Conf_95_SemiMajor,Conf_95_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg.x,Pivot_Energy.x,Flux1000.x,Unc_Flux1000.x,Energy_Flux100.x,Unc_Energy_Flux100.x,SpectrumType.x,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index.x,Unc_PL_Index.x,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index.x,Unc_LP_Index.x,LP_beta.x,Unc_LP_beta.x,LP_SigCurv,LP_EPeak,Unc_LP_EPeak,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_IndexS,Unc_PLEC_IndexS,PLEC_ExpfactorS,Unc_PLEC_ExpfactorS,PLEC_Exp_Index,Unc_PLEC_Exp_Index,PLEC_SigCurv,PLEC_EPeak,Unc_PLEC_EPeak,Npred,Flux_Band1,Flux_Band2,Flux_Band3,Flux_Band4,Flux_Band5,Flux_Band6,Flux_Band7,Flux_Band8,Unc_Flux_Band1,Unc_Flux_Band2,Unc_Flux_Band3,Unc_Flux_Band4,Unc_Flux_Band5,Unc_Flux_Band6,Unc_Flux_Band7,Unc_Flux_Band8,Unc_Flux_Band9,Unc_Flux_Band10,Unc_Flux_Band11,Unc_Flux_Band12,Unc_Flux_Band13,Unc_Flux_Band14,Unc_Flux_Band15,Unc_Flux_Band16,nuFnu_Band1,nuFnu_Band2,nuFnu_Band3,nuFnu_Band4,nuFnu_Band5,nuFnu_Band6,nuFnu_Band7,nuFnu_Band8,Sqrt_TS_Band1,Sqrt_TS_Band2,Sqrt_TS_Band3,Sqrt_TS_Band4,Sqrt_TS_Band5,Sqrt_TS_Band6,Sqrt_TS_Band7,Sqrt_TS_Band8,Variability_Index.x,Frac_Variability.x,Unc_Frac_Variability.x,Signif_Peak,Flux_Peak,Unc_Flux_Peak,Time_Peak,Peak_Interval,NA.,NA.1,NA.2,NA.3,NA.4,NA.5,NA.6,NA.7,NA.8,NA.9,NA.10,NA.11,NA.12,NA.13,NA.14,NA.15,NA.16,NA.17,NA.18,NA.19,NA.20,NA.21,NA.22,NA.23,NA.24,NA.25,NA.26,NA.27,NA.28,NA.29,NA.30,NA.31,NA.32,NA.33,NA.34,NA.35,NA.36,NA.37,NA.38,NA.39,NA.40,NA.41,NA.42,NA.43,NA.44,NA.45,NA.46,NA.47,ASSOC_4FGL,ASSOC_FGL,ASSOC_FHL,ASSOC_GAM1,ASSOC_GAM2,ASSOC_GAM3,TEVCAT_FLAG,ASSOC_TEV,CLASS1,CLASS2,ASSOC1.x,ASSOC2,ASSOC_PROB_BAY.x,ASSOC_PROB_LR.x,RA_Counterpart.x,DEC_Counterpart.x,Unc_Counterpart.x,Flags.x,X.y,DataRelease.y,RAJ2000.y,DEJ2000.y,GLON.y,GLAT.y,Signif_Avg.y,Flux1000.y,Unc_Flux1000.y,Energy_Flux100.y,Unc_Energy_Flux100.y,SpectrumType.y,PL_Index.y,Unc_PL_Index.y,Pivot_Energy.y,LP_Index.y,Unc_LP_Index.y,LP_beta.y,Unc_LP_beta.y,Flags.y,CLASS,ASSOC1.y,ASSOC_PROB_BAY.y,ASSOC_PROB_LR.y,Counterpart_Catalog,RA_Counterpart.y,DEC_Counterpart.y,Unc_Counterpart.y,Redshift.x,SED_class,HE_EPeak,Unc_HE_EPeak,HE_nuFnuPeak,Unc_HE_nuFnuPeak,nu_syn,nuFnu_syn,Variability_Index.y,Frac_Variability.y,Unc_Frac_Variability.y,Highest_energy,NC,IVS_name,hr,mn1,seconds1,deg,mn2,seconds2,D_alp,D_Del,Corr,Obs,S,S_err,C,C_err,X_band,X_err,U,U_err,K,K_err,Type,Cat,HR12,HR23,HR34,HR45,HR56,HR67,HR78,HS123,HS234,HS345,HS456,HS567,HS678,Gamma_Randness,Gamma_R,Gamma_CD,Redshift.y,log10BHM,Unc_log10BHM,log10ADL,log10nu_syn,log10flux_synpeak,log10nu_IC,log10flux_ICpeak,CD,Ld_Ledd,Log_LE_lum,Log_HE_lum,Log_LE_lum.1,Log_HE_lum.1,Log_Luminosity_X_band,pearson_coeff_neo,sigma_m_w1_neo,mean_m_w1_neo,sigma_m_w2_neo,mean_m_w2_neo,len_neo,W1-W2
5,4FGL J0006.3-0620,&,\cite{2022arXiv220810104X},\\,CLB,20,20,20,836,836,836,RFC J0006-0623,20,33,1,1.59920001029968,-6.34929990768433,93.6470184326172,-66.6251831054688,0.0675316378474236,0.0634612366557121,-82.7099990844727,0.109499998390675,0.102899998426437,-82.7099990844727,933,,5.25340509414673,2238.3740234375,1.2675634153414e-10,2.7863327964339197e-11,1.4257430956329798e-12,3.1776127952867797e-13,PowerLaw         ,2.59057268095931e-14,5.6936309576001605e-15,2.1502833366394,0.153176426887512,3.11625183123387e-14,8.434060368774522e-15,2.12374877929688,0.211722612380981,0.124600782990456,0.151449397206306,1.03737246990204,1362.29162597656,1436.07421875,2.7958927897473902e-14,7.040511176039911e-15,2.09323287010193,0.192638263106346,0.0688008815050125,0.14327746629715,0.666666686534882,,0.62113618850708,67.1970672607422,3228.8623046875,212.502731323242,7.46564943199246e-09,1.1938724453486301e-09,3.6511160761421004e-10,8.690639180519709e-11,2.7663446186543297e-11,4.99487647423469e-12,2.01327214448266e-12,5.44920779514823e-18,,1.31443744777471e-08,,1.5046657253492402e-09,-1.70569933177767e-10,1.7902698767891001e-10,-3.2148096684725396e-11,3.5740743697942896e-11,-1.0694251040277399e-11,1.2923605761938599e-11,-3.11664626398422e-12,5.04296647843572e-12,-1.6847372021760999e-12,3.0581379442673497e-12,,3.3803730214304598e-12,1.18888655430832e-12,2.82683734276548e-13,2.4629121441951997e-13,2.05775934486452e-13,1.86607687310304e-13,1.18268106896399e-13,1.35808126354962e-13,9.13408297749816e-19,0.408373326063156,0.728417634963989,2.22905898094177,3.12099170684814,3.45989060401917,2.22434115409851,1.41049158573151,0.0,23.3793678283691,0.485609501600266,0.332412153482437,-inf,-inf,-inf,-inf,-inf,3.46418518328527e-14,2.58434634803351e-10,5.01339414427093e-09,1.41197695896489e-11,2.6736501901325503e-09,2.30582375415622e-09,3.2661382487475504e-09,3.89943544121252e-09,2.06091965715416e-09,3.12483239284234e-09,9.59997747962404e-10,2.37165918414578e-13,,9.319501836912991e-10,,1.1908094510459901e-09,-1.6792051082958902e-09,1.7533009488701602e-09,,1.4691802219246601e-09,-1.3861913839008401e-09,1.7066570379142802e-09,-1.4853768215417102e-09,1.8685539782126203e-09,-1.5372351169773401e-09,1.86598292373219e-09,-1.6681509507066e-09,1.90412174916332e-09,-1.6251806567169102e-09,1.8036668825161e-09,-1.4461739583637702e-09,1.6943448866158e-09,,1.4472933962395e-09,,8.85117423798931e-10,0.0,0.302584707736969,3.8252911567688,0.0,2.67605137825012,1.76668727397919,2.79141783714294,2.69821786880493,1.30469489097595,2.76200485229492,0.81928151845932,0.0,4FGL J0006.3-0620 ,                  ,                  ,                  ,                  ,                  ,N,                              ,bll,,PKS 0003-066                ,                            ,0.990141093730927,0.999468803405762,1.55788704167,-6.39314870278,6.79999985209179e-08,0,20,1,1.59920001029968,-6.34929990768433,93.6470184326172,-66.6251831054688,5.25340509414673,1.2675634153414e-10,2.7863327964339197e-11,1.4257430956329798e-12,3.1776127952867797e-13,PowerLaw,2.1502833366394,0.153176426887512,2238.3740234375,2.12374877929688,0.211722612380981,0.124600782990456,0.151449397206306,0,bll,PKS 0003-066,0.990141093730927,0.999468803405762,cgrabs,1.55788704167,-6.39314870278,6.79999985209179e-08,0.347000002861023,LSP,1362.29162597656,1436.07421875,1.6100594280033e-07,4.40686740432739e-08,8317637754880,8.180352228936979e-12,23.3793678283691,0.485609501600266,0.332412153482437,-inf,N,0003-066,0.0,6.0,13.892887,-6.0,23.0,35.33539,0.1,0.1,0.211,71214.0,2.112,0.84,3.243,2.392,2.409,1.35,2.128,0.801,-1.0,-1.0,Fus,rfc_2023a,-0.615806684234716,-0.0687981915717109,-0.0896222608325273,-0.0488507830382294,-0.224155481387845,0.0690344753387871,-0.999986548637715,-0.547008492663005,0.0208240692608164,-0.0407714777942979,0.175304698349615,-0.293189956726632,1.0690210239765,4.88536070827367,6.88186305054196,0.0123012691182471,0.347,8.93,0.4,44.52,12.92,-11.09,19.66,-12.04,0.11,0.0029926549614944,45.373067115944,43.8712570010382,45.373067115944,43.8712570010382,43.7766303632957,0.7808191665334628,0.38274794102813203,13.612702127659572,0.214054410442964,13.303723404255319,47.0,0.30897872340425525
19,4FGL J0102.8+5824,&,\cite{2022arXiv220810104X},\\,CLB,185,185,185,969,969,969,RFC J0102+5824,185,268,1,15.701000213623,58.4091987609863,124.424461364746,-4.42960596084595,0.0094976006075739,0.0093125822022557,-34.0,0.0153999999165535,0.0151000004261732,-34.0,1175,,54.230052947998,1611.0634765625,4.024137023606041e-09,1.12213356662227e-10,4.05972096217955e-11,1.5438018701949299e-12,LogParabola      ,1.6498522383348599e-12,4.20819215791231e-14,2.2844250202179,0.0186915658414364,1.80430583668345e-12,5.39955246855496e-14,2.27540969848633,0.0243997499346733,0.0653705671429634,0.0131655037403107,5.27756261825562,196.001724243164,94.7987670898438,1.75614893720838e-12,5.0609429163737604e-14,2.23763680458069,0.0236412826925516,0.0668658763170242,0.0164718981832266,0.666666686534882,,4.78403902053833,,,6396.2890625,5.50712009328436e-08,4.31695212910199e-08,1.32448620959735e-08,3.1897402497094204e-09,7.03791080969296e-10,1.34705996357454e-10,2.2714774505772097e-11,3.02611429837951e-12,,1.82352248856432e-08,-1.20386793867056e-08,5.32218535909124e-09,-8.11433531477945e-10,8.11433531477945e-10,-1.25256610639113e-10,1.25256610639113e-10,-4.0883393892521295e-11,4.0883393892521295e-11,-1.5351308765843e-11,1.63839913858155e-11,-5.7571404241119094e-12,6.81083054537845e-12,-1.635943984446e-12,2.61958879067825e-12,8.869282044909889e-12,1.03900906975318e-11,8.95112716586821e-12,7.45455780437609e-12,4.59453568940615e-12,3.0593028110814698e-12,1.43430211284323e-12,3.86311723712604e-13,0.651436030864716,3.64319920539856,17.8701076507568,34.3784065246582,30.8071689605713,19.0180931091309,8.52180194854736,4.4804162979126,955.420227050781,0.877021014690399,0.188495010137558,38.4143028259277,1.98199956003009e-07,6.7763297195711e-09,349790016.0,31560000.0,4.63120812810303e-08,2.1248679260566e-08,1.90453128823265e-08,1.98199956003009e-07,2.25918039831186e-08,5.92527129583686e-08,5.56351054115112e-08,9.66433262306055e-08,4.11965501712075e-08,2.09826929165047e-08,3.24349080926822e-08,7.34161105242492e-08,-4.7837334093969705e-09,4.92353757763908e-09,-3.53494766791584e-09,3.6357303834222404e-09,-3.5406271248206204e-09,3.6611462750357805e-09,-6.7763297195711e-09,6.7763297195711e-09,-3.82670561904774e-09,3.9647871652448405e-09,-4.8943924468858305e-09,4.8943924468858305e-09,-4.3360683932292e-09,4.3360683932292e-09,-4.59554261311723e-09,4.59554261311723e-09,-4.08575884236484e-09,4.08575884236484e-09,-3.7841547673167505e-09,3.91506338459635e-09,-3.2258300475263e-09,3.32615202047748e-09,-5.0377968463521905e-09,5.0377968463521905e-09,11.535530090332,7.30165243148804,6.15271377563477,38.4143028259277,7.16094017028809,14.8112211227417,15.407600402832,25.5756549835205,13.1225271224976,6.8962664604187,11.8757848739624,18.8317317962646,4FGL J0102.8+5824 ,3FGL J0102.8+5825 ,3FHL J0102.8+5825 ,                  ,                  ,                  ,N,                              ,fsrq,,TXS 0059+581                ,                            ,0.999963641166687,0.99384742975235,15.6906765792,58.4030935139,6.79999985209179e-08,0,3420,1,15.701000213623,58.4091987609863,124.424461364746,-4.42960596084595,54.230052947998,4.024137023606041e-09,1.12213356662227e-10,4.05972096217955e-11,1.5438018701949299e-12,LogParabola,2.2844250202179,0.0186915658414364,1611.0634765625,2.27540969848633,0.0243997499346733,0.0653705671429634,0.0131655037403107,0,fsrq,TXS 0059+581,0.999963641166687,0.99384742975235,bzcat,15.6906765792,58.4030935139,6.79999985209179e-08,0.643999993801117,LSP,196.001724243164,94.7987670898438,6.2591461755801e-06,4.85523571569502e-07,4518559350784,2.2106908317831598e-11,955.420227050781,0.877021014690399,0.188495010137558,55.0177001953125,N,0059+581,1.0,2.0,45.762376,58.0,24.0,11.13662,0.19,0.1,-0.111,650382.0,1.626,1.071,2.46,1.814,2.113,1.578,2.586,2.044,3.876,2.851,Fus,rfc_2023a,0.0789645993646781,-0.0743988068293562,-0.0912226075416243,-0.237364090206937,-0.200583390703484,-0.361625181952794,-0.575624752535756,0.153363406194034,0.0168238007122682,0.146141482665312,-0.036780699503452,0.161041791249309,0.213999570582963,117.974609136355,223.407750590451,0.176956736939201,0.644,9.01,0.25,46.04,12.86,-11.13,22.01,-10.96,1.48,0.0824245619413542,46.356784553531,46.0128916202036,46.356784553531,46.0128916202036,44.2716544916945,0.9962764419807212,0.86893961225078,11.371666666666668,0.8738957430797238,10.267835016835015,297.0,1.1038316498316496
24,4FGL J0114.8+1326,&,\citealt{2022ApJ...935....4Z},\\,CLB,219,219,219,999,999,999,RFC J0114+1325,219,312,1,18.7119007110596,13.4342002868652,131.633972167969,-49.0416069030762,0.0145547650754452,0.0144314179196954,-84.4300003051758,0.0236000008881092,0.0233999993652105,-84.4300003051758,947,,33.495849609375,1268.93017578125,1.1587589776596e-09,6.22294230034903e-11,1.11555469722857e-11,7.755564311422159e-13,LogParabola      ,7.25067087533476e-13,3.62850855861307e-14,2.06206202507019,0.0379430390894413,7.60542019986876e-13,4.19923393746215e-14,1.98386263847351,0.0448604710400105,0.0482920669019222,0.0239634066820145,2.18364000320435,1499.68432617188,825.470458984375,7.43387339532942e-13,3.91796987106278e-14,1.97348582744598,0.0555193014442921,0.04007538408041,0.019453214481473,0.666666686534882,,2.61906290054321,2195.15869140625,1850.12609863281,1475.15307617188,1.57774504572217e-08,5.1361093156288e-09,2.7956712500554204e-09,7.71792629805645e-10,2.76994427395039e-10,6.57168902629124e-11,1.58467631378167e-11,1.57480643486205e-16,,1.05100230740618e-08,-1.8772396970234703e-09,1.91184446052262e-09,-2.49724102507898e-10,2.49724102507898e-10,-6.25633711504037e-11,6.25633711504037e-11,-2.8133131241281397e-11,2.98671261333983e-11,-1.211352112368e-11,1.37341006622993e-11,-5.39207784325257e-12,6.836622414019279e-12,,3.1530832632353797e-12,2.55741998758663e-12,1.2599731371090698e-12,1.94163630486133e-12,1.85205626876406e-12,1.87400290597994e-12,1.54306613060068e-12,1.04490212055747e-12,2.30737416203849e-17,0.6755730509758,2.81563973426819,13.7057723999023,19.0806350708008,19.9372940063477,11.3377113342285,6.59029388427734,0.0,55.3542289733887,0.337020516395569,0.0902495309710503,15.6743974685669,1.84598398789149e-08,1.98739957824046e-09,286670016.0,31560000.0,6.7117942315064705e-09,1.84598398789149e-08,1.41502329853438e-08,8.42872438511222e-09,8.29864976736872e-09,1.18091492140593e-08,9.55566559213139e-09,8.583679544926781e-09,5.837870631353331e-09,6.29345375813273e-09,1.50186796332719e-08,1.01974162447505e-08,-1.3496753714648e-09,1.45433787235305e-09,-1.98739957824046e-09,2.0542290091185603e-09,-1.83204462711473e-09,1.92971305601475e-09,-1.52669399344774e-09,1.6515443457265602e-09,-1.5732279923241801e-09,1.6968693117291902e-09,-1.8293323522655702e-09,1.96239180461077e-09,-1.7533031693162101e-09,1.8816168623203604e-09,-1.5347627613238e-09,1.6595819163356402e-09,-1.30639921103182e-09,1.4232298672922601e-09,-1.6387762258318602e-09,1.7974679522581e-09,-1.8252382938399602e-09,1.9370158810261302e-09,-1.77915571164533e-09,1.9005494955592903e-09,6.52169179916382,15.6743974685669,13.05029296875,8.32372188568115,8.20831680297852,10.7154207229614,7.92907524108887,8.94864845275879,7.08413028717041,4.89673948287964,12.8599061965942,8.4557409286499,4FGL J0114.8+1326 ,3FGL J0114.8+1326 ,3FHL J0114.8+1324 ,                  ,                  ,                  ,N,                              ,bll,,GB6 J0114+1325              ,                            ,0.999711632728577,0.934342265129089,18.719903725,13.4270916861,2.3999999143598e-07,0,206,1,18.7119007110596,13.4342002868652,131.633972167969,-49.0416069030762,33.495849609375,1.1587589776596e-09,6.22294230034903e-11,1.11555469722857e-11,7.755564311422159e-13,LogParabola,2.06206202507019,0.0379430390894413,1268.93017578125,1.98386263847351,0.0448604710400105,0.0482920669019222,0.0239634066820145,0,bll,GB6 J0114+1325,0.999711632728577,0.934342265129089,bllac,18.719903725,13.4270916861,2.3999999143598e-07,0.583000004291534,ISP,1499.68432617188,825.470458984375,1.22626454412966e-06,6.8374504280655e-08,630957338001408,2.03597772321928e-12,55.3542289733887,0.337020516395569,0.0902495309710503,98.929801940918,N,0112+131,1.0,14.0,52.776853,13.0,25.0,37.5301,0.14,0.21,-0.099,690.0,0.054,0.045,-1.0,-1.0,0.041,0.031,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2023a,-0.339877714475893,0.212912655371461,-0.0236128875386611,0.0058900399018455,-0.0968481385176872,-0.192492318953401,-0.999955836567543,-0.552790369847354,0.236525542910122,-0.0295029274405067,0.102738178419533,0.0956441804357138,0.807463517614142,1942.43929706511,3163.79664557167,0.376436014667776,,,,,,,,,,,45.232011614465,45.2159427466661,45.232011614465,45.2159427466661,42.4705209005985,0.9829724203494856,0.4361572401097368,12.575202586206895,0.4876983177117338,11.780340517241378,232.0,0.7948620689655173
45,4FGL J0210.7-5101,&,\cite{2011MNRAS.414.2674G},\\,CLB,381,381,381,1123,1123,1123,RFC J0210-5101,381,530,1,32.6945991516113,-51.021800994873,276.105773925781,-61.7737464904785,0.0094976006075739,0.009189236909151,37.6399993896484,0.0153999999165535,0.0148999998345971,37.6399993896484,1115,,187.132873535156,557.748291015625,1.00584802709136e-08,1.34720845590408e-10,1.06441085112596e-10,1.28795726254266e-12,LogParabola      ,4.9510100880167895e-11,4.89803618670959e-13,2.30298328399658,0.0077858767472207,5.47777136150618e-11,6.38351567786022e-13,2.21760582923889,0.0118188047781587,0.0928578823804855,0.0063300421461463,14.8213386535645,172.809997558594,21.3967514038086,5.285709023250539e-11,5.82815154644145e-13,2.19405364990234,0.0114085674285889,0.0941215381026268,0.0070340461097657,0.666666686534882,,14.9266633987427,,,19807.375,1.84918164336523e-07,1.25416178775595e-07,3.96076522690691e-08,8.46490166850344e-09,1.6283024928398502e-09,1.78102879666575e-10,1.36631895034101e-11,1.23113260037944e-12,-2.44171456387221e-08,1.6923452861306e-08,-3.4267055859516e-09,3.4267055859516e-09,-5.859231988480931e-10,5.859231988480931e-10,-1.54178683708928e-10,1.54178683708928e-10,-5.82104434099229e-11,5.82104434099229e-11,-1.80372453084665e-11,1.9362992112470497e-11,-4.5806075946175394e-12,5.78036056519959e-12,,3.93470369133841e-12,2.9820073493835896e-11,3.01359354137887e-11,2.6520027493481796e-11,1.95131029390172e-11,1.0388244951753399e-11,3.94593125535581e-12,8.331039308938359e-13,1.41677292185387e-13,7.45814800262451,45.8529014587402,113.222686767578,118.480560302734,73.0817031860352,26.154052734375,7.0661153793335,0.693095028400421,11604.48828125,1.06169128417969,0.226503491401672,164.791702270508,6.44227384327678e-07,7.432836124365851e-09,602270016.0,31560000.0,1.25505337678078e-07,4.44991492543068e-08,1.28236322893827e-07,6.22227176449996e-08,5.09275039917156e-08,6.73750619739621e-08,4.18530383683446e-08,1.17994417792033e-07,1.46369316667005e-07,1.86009245339847e-07,3.55177718347477e-07,6.44227384327678e-07,-4.568716516217821e-09,4.568716516217821e-09,-2.9930182776638503e-09,2.9930182776638503e-09,-4.1581627030495805e-09,4.1581627030495805e-09,-3.3192453230412903e-09,3.3192453230412903e-09,-3.14511283683316e-09,3.14511283683316e-09,-3.6626175425880104e-09,3.6626175425880104e-09,-3.03347857943947e-09,3.03347857943947e-09,-4.13842737856385e-09,4.13842737856385e-09,-4.535260167415341e-09,4.535260167415341e-09,-4.762119143464361e-09,4.762119143464361e-09,-5.971410033112081e-09,5.971410033112081e-09,-7.432836124365851e-09,7.432836124365851e-09,45.8524627685547,22.2037029266357,53.1662063598633,29.6415786743164,24.3307685852051,29.8604621887207,20.8485069274902,47.1860122680664,54.9752922058105,68.2883682250977,108.47615814209,164.791702270508,4FGL J0210.7-5101 ,3FGL J0210.7-5101 ,3FHL J0210.6-5100 ,                  ,3EG J0210-5055    ,EGR J0210-5058    ,N,                              ,fsrq,,PKS 0208-512                ,                            ,1.0,0.999840021133423,32.692501775,-51.0171921722,6.79999985209179e-08,0,358,1,32.6945991516113,-51.021800994873,276.105773925781,-61.7737464904785,187.132873535156,1.00584802709136e-08,1.34720845590408e-10,1.06441085112596e-10,1.28795726254266e-12,LogParabola,2.30298328399658,0.0077858767472207,557.748291015625,2.21760582923889,0.0118188047781587,0.0928578823804855,0.0063300421461463,0,fsrq,PKS 0208-512,1.0,0.999840021133423,identified,32.692501775,-51.0171921722,6.79999985209179e-08,1.00300002098083,LSP,172.809997558594,21.3967514038086,1.9357392375241e-05,3.98609500962266e-07,8609937752064,6.06986466297754e-12,11604.48828125,1.06169128417969,0.226503491401672,50.657600402832,N,0208-512,2.0,10.0,46.200419,-51.0,1.0,1.8919,0.16,0.1,0.053,10773.0,2.085,1.489,-1.0,-1.0,1.025,0.303,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2023a,0.0052682279175629,-0.0638221951363725,-0.152214817646157,-0.305165440052965,-0.449437317032732,-0.651350576664151,-0.70931468758119,0.0690904230539355,0.0883926225097845,0.152950622406808,0.144271876979768,0.201913259631418,0.0579641109170389,488.429331621616,1207.49954750534,1.99318615921015,1.003,9.12,0.2,46.05,12.83,-11.09,22.16,-10.7,2.45,0.0654721567847979,46.1932044437505,46.9009922718081,46.1932044437505,46.9009922718081,44.35524775247,0.9734742857856515,1.0467580552155036,11.77787969924812,1.0880901859073158,10.655290726817043,399.0,1.1225889724310778
50,4FGL J0238.6+1637,&,\cite{2011MNRAS.414.2674G},\\,CLB,477,477,477,1202,1202,1202,RFC J0238+1636,477,646,1,39.6679992675781,16.6179008483887,156.775894165039,-39.1053810119629,0.0064139640890061,0.0063522914424538,-75.9000015258789,0.0104000000283122,0.0103000001981854,-75.9000015258789,974,,135.105087280273,906.3076171875,9.79390435418281e-09,1.55405271984321e-10,9.174219717245079e-11,1.69887715006922e-12,LogParabola      ,1.3730307689419099e-11,1.78486660672682e-13,2.18636965751648,0.0098409978672862,1.5232506228590698e-11,2.36003084479533e-13,2.12261891365051,0.0149822309613228,0.0832311064004898,0.0078363856300711,12.0931129455566,433.877014160156,59.6736373901367,1.4723411725925398e-11,2.15815009634891e-13,2.0958890914917,0.0142498919740319,0.0813104212284088,0.0085243294015526,0.666666686534882,,11.9115915298462,89.5968780517578,109.276634216309,13018.3896484375,7.60921849973784e-08,8.52144381724429e-08,3.01651610357112e-08,7.47157713476554e-09,1.94626847971335e-09,3.13274794994101e-10,4.5908794127358396e-11,4.65746401362728e-18,-7.13063457169483e-08,5.25636068005042e-08,-4.30100088877339e-09,4.30100088877339e-09,-6.46909359414138e-10,6.46909359414138e-10,-1.66294825132418e-10,1.66294825132418e-10,-7.067151724937659e-11,7.067151724937659e-11,-2.68080800613912e-11,2.68080800613912e-11,-9.409926830794559e-12,1.07960593589973e-11,,3.74933851327031e-12,1.23374765265138e-11,2.0789155119604898e-11,2.06158441012905e-11,1.7553640832557197e-11,1.27249105350002e-11,7.0963348045016694e-12,2.8774641089995797e-12,5.74359424072307e-19,1.07857000827789,19.1026096343994,68.2095794677734,86.7640686035156,67.5092468261719,32.5241355895996,12.2825412750244,0.0,5872.72021484375,1.08316850662231,0.231264382600784,99.4816818237305,3.73198474790115e-07,6.7586927166019e-09,255223712.0,31332582.0,3.73198474790115e-07,2.64824038254119e-08,1.50171199919669e-08,3.41037349471662e-08,2.95905806524388e-08,5.5125681797108e-08,2.11555473583758e-07,3.15148668050824e-07,1.0803459105091e-07,6.4833166391054e-08,1.6011581394082e-08,1.0172421838206e-07,-6.7586927166019e-09,6.7586927166019e-09,-2.9987559102551102e-09,3.1421847346280203e-09,-2.40310482624295e-09,2.55231702439573e-09,-3.3237101959571204e-09,3.3237101959571204e-09,-2.9909459353660804e-09,3.07037795188592e-09,-4.021829091982451e-09,4.021829091982451e-09,-6.2604827988366204e-09,6.2604827988366204e-09,-6.706768029829391e-09,6.706768029829391e-09,-4.50619896952276e-09,4.50619896952276e-09,-4.50366899329424e-09,4.50366899329424e-09,-2.65506061580822e-09,2.81791812106746e-09,-5.0121227168631305e-09,5.0121227168631305e-09,99.4816818237305,12.2445335388184,8.61674404144287,15.7644491195679,14.5897827148438,21.3402481079102,57.7310218811035,82.9437408447266,40.9664649963379,23.1975002288818,8.01540088653564,32.161563873291,4FGL J0238.6+1637 ,3FGL J0238.6+1636 ,3FHL J0238.6+1637 ,                  ,3EG J0237+1635    ,                  ,N,                              ,bll,,PKS 0235+164                ,                            ,1.0,0.997986495494843,39.6622087833,16.6164651667,6.79999985209179e-08,0,451,1,39.6679992675781,16.6179008483887,156.775894165039,-39.1053810119629,135.105087280273,9.79390435418281e-09,1.55405271984321e-10,9.174219717245079e-11,1.69887715006922e-12,LogParabola,2.18636965751648,0.0098409978672862,906.3076171875,2.12261891365051,0.0149822309613228,0.0832311064004898,0.0078363856300711,0,bll,PKS 0235+164,1.0,0.997986495494843,identified,39.6622087833,16.6164651667,6.79999985209179e-08,0.939999997615814,LSP,433.877014160156,59.6736373901367,1.30898934003199e-05,2.51689471042482e-07,10764651855872,1.81882113536869e-11,5872.72021484375,1.08316850662231,0.231264382600784,82.5048980712891,N,0235+164,2.0,38.0,38.930104,16.0,36.0,59.27455,0.1,0.1,0.145,105298.0,1.002,0.868,1.52,1.447,1.288,0.942,1.46,1.033,-1.0,-1.0,Fus,rfc_2023a,0.255132447010541,-0.0041857510343083,-0.0802264760459951,-0.159476926056999,-0.283966806025114,-0.422995363360607,-0.999999600787855,0.25931819804485,0.0760407250116868,0.079250450011004,0.124489879968115,0.139028557335493,0.577004237427248,377.325002519649,828.23737155542,0.449806922523008,0.94,8.58,0.34,45.3,12.94,-10.9,22.68,-10.47,2.69,0.0403698046345976,46.6113961689315,46.6726622691811,46.6113961689315,46.6726622691811,44.3960204909753,0.9957615747110005,1.2337605673456364,11.920133027522935,1.2800382213266517,10.868651376146788,218.0,1.0514816513761467
