,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
0,1,14-195 keV (Swift)   , 10.97E-11                     ,+/- 0.46E-11 ,erg/s/cm^2^          ,2.53e+19,4.34e-07,+/- 1.82E-08 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..186..378T,1
1,2,14-195 keV (XMM)     , -10.0                         ,           ...,log(erg/s/cm^2^)     ,2.53e+19,3.95e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2012ApJ...745..107W,2
2,3,14-195 keV (Swift)   , 10.1E-11                      ,           ...,erg/cm^2^/s          ,2.53e+19,3.9899999999999996e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2008ApJ...681..113T,3
3,4,15-150 keV (Swift)   , 9.3e-11                       ,+/- 3.0e-12 ,erg/cm^2^/s          ,1.99e+19,4.6700000000000004e-07,+/- 1.51E-08 ,Jy                   ,"Broad-band
",                                        ,2010A&A...524A..64C,4
4,5,40-100 keV INTEGRAL  , 4.1                           ,+/- 0.5    , milliCrab           ,1.69e+19,2.2899999999999997e-07,+/- 2.79E-08 ,Jy                   ,"Broad-band
",Time-averaged flux                      ,2007ApJS..170..175B,5
5,6,40-100 keV INTEGRAL  , 3.90E-11                      ,           ...,erg/cm^2^/s          ,1.69e+19,2.3100000000000002e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,6
6,7,20-100 keV BeppoSAX  , 22.0E-12                      ,           ...,erg cm^-2^ s^-1^     ,1.45e+19,1.5199999999999998e-07,    ...      ,Jy                   ,"Broad-band
",Average spectrum params reported        ,2005A&A...441...69L,7
7,8,20-100 keV BeppoSAX  , 43.0E-12                      ,           ...,erg cm^-2^ s^-1^     ,1.45e+19,2.9699999999999997e-07,    ...      ,Jy                   ,"Broad-band
",Flux at source; avg spec param reported ,2005A&A...441...69L,8
8,9,20-100 keV INTEGRAL  , 6.057E-11                     ,           ..., erg/s/cm^2^         ,1.45e+19,4.1799999999999996e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009MNRAS.399..944M,9
9,10,17-60 keV (INTEGRAL) , 6.16E-11                      ,+/- 0.64E-11 ,erg s^-1^ cm^-2^     ,9.31e+18,6.620000000000001e-07,+/- 6.87E-08 ,Jy                   ,"Broad-band
",                                        ,2007A&A...462...57S,10
10,11,15-55 keV (Swift)    , 5.82E-11                      ,+/- 0.19E-11 ,erg/cm^2^/s          ,8.46e+18,6.88e-07,+/- 2.25E-08 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...699..603A,11
11,12,20-40 keV (INTEGRAL) , 2.9                           ,+/- 0.3    , milliCrab           ,7.25e+18,3.03e-07,+/- 3.13E-08 ,Jy                   ,"Broad-band
",Time-averaged flux                      ,2007ApJS..170..175B,12
12,13,20-40 keV (INTEGRAL) , 2.30E-11                      ,           ...,erg/cm^2^/s          ,7.25e+18,3.17e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2009A&A...505..417B,13
13,14,10-50 keV (Suzaku)   , 1.80                          ,           ...,log(erg/s/cm^2^)     ,7.25e+18,8.7e-07,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...727...19F,14
14,15,4-10 keV (Suzaku)    , 2.0E-11                       ,           ...,erg/s/cm^2^          ,1.69e+18,1.18e-06,    ...      ,Jy                   ,"Broad-band
",                                        ,2010ApJ...719..700T,15
