1.122018e-03 1.333022e-05 0.000000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   
1.412538e-03 5.937500e-05 0.000000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   
1.778279e-03 1.310498e-04 0.000000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   
2.238721e-03 2.235126e-04 0.000000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 6.227e-05 0.000e+00 0.000e+00   5.383e-05 0.000e+00 0.000e+00 0.000e+00   2.097e-04 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 9.727e-09   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 1.750e-04   0.000e+00 0.000e+00 0.000e+00 0.000e+00   
2.818383e-03 2.256513e-04 0.000000e+00 0.000e+00 0.000e+00 6.344e-05 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 9.486e-05 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 2.928e-05   0.000e+00 0.000e+00 1.988e-04 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   8.223e-05 0.000e+00 0.000e+00 0.000e+00   
3.548134e-03 2.621870e-04 0.000000e+00 0.000e+00 0.000e+00 8.240e-05 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   1.757e-04 1.464e-05 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 1.277e-04 0.000e+00 0.000e+00   2.324e-05 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   3.179e-05 2.423e-04 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   
4.466836e-03 5.259039e-04 0.000000e+00 2.471e-04 0.000e+00 0.000e+00 0.000e+00   0.000e+00 5.046e-06 0.000e+00 0.000e+00   1.717e-09 0.000e+00 1.469e-04 1.508e-04   0.000e+00 0.000e+00 0.000e+00 7.936e-05   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 1.636e-06 0.000e+00   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 4.452e-06   0.000e+00 0.000e+00 0.000e+00 0.000e+00   
5.623413e-03 1.008411e-03 0.000000e+00 5.863e-05 0.000e+00 0.000e+00 5.457e-06   0.000e+00 0.000e+00 0.000e+00 0.000e+00   0.000e+00 0.000e+00 8.689e-05 0.000e+00   0.000e+00 1.336e-04 0.000e+00 0.000e+00   0.000e+00 0.000e+00 0.000e+00 4.421e-04   0.000e+00 0.000e+00 0.000e+00 2.431e-04   0.000e+00 0.000e+00 6.128e-05 0.000e+00   0.000e+00 0.000e+00 1.236e-04 0.000e+00   0.000e+00 0.000e+00 0.000e+00 2.980e-05   0.000e+00 0.000e+00 0.000e+00 0.000e+00   
7.079458e-03 1.568216e-03 0.000000e+00 1.429e-04 1.188e-04 1.203e-04 2.619e-05   2.577e-04 1.027e-04 0.000e+00 0.000e+00   0.000e+00 1.303e-04 0.000e+00 1.815e-05   0.000e+00 0.000e+00 1.375e-04 7.405e-05   0.000e+00 3.022e-04 6.141e-06 0.000e+00   1.135e-04 4.833e-06 0.000e+00 0.000e+00   5.661e-06 6.054e-05 0.000e+00 0.000e+00   0.000e+00 1.648e-04 2.122e-06 0.000e+00   3.629e-04 0.000e+00 0.000e+00 0.000e+00   5.016e-06 1.115e-06 0.000e+00 0.000e+00   
8.912509e-03 2.234723e-03 0.000000e+00 0.000e+00 1.803e-04 5.689e-04 4.169e-04   1.746e-04 2.159e-04 0.000e+00 5.826e-07   1.272e-04 3.039e-04 6.059e-04 3.568e-04   0.000e+00 3.627e-04 0.000e+00 0.000e+00   0.000e+00 3.379e-06 0.000e+00 4.934e-05   4.838e-06 5.115e-05 3.272e-05 1.670e-04   1.797e-04 5.164e-06 4.190e-05 3.985e-04   0.000e+00 1.026e-04 0.000e+00 2.751e-05   6.009e-09 0.000e+00 1.812e-04 0.000e+00   1.274e-05 8.276e-05 7.193e-05 2.707e-07   
